transport,departure,arrival,passengers
avia,Москва,Курган,5885
avia,Москва,Улан-Удэ,5848
avia,Москва,Надым,5709
avia,Хабаровск,Южно-Сахалинск,5895
avia,Москва,Нижневартовск,5564
avia,Сочи,Краснодар,5750
avia,Курган,Москва,5726
avia,Махачкала,Сургут,5553
avia,Москва,Нальчик,5164
avia,Пермь,Санкт-Петербург,5482
avia,Южно-Сахалинск,Хабаровск,5326
avia,Краснодар,Сочи,5149
avia,Нальчик,Москва,5167
avia,Санкт-Петербург,Пермь,5200
avia,Новосибирск,Сургут,5394
avia,Новый Уренгой,Новосибирск,4970
avia,Москва,Саранск,5214
avia,Сургут,Уфа,5235
avia,Москва,Нижний Новгород,4741
avia,Петропавловск-Камчатский,Москва,4931
avia,Симферополь (Крым),Ростов-на-Дону,4684
avia,Казань,Сочи,4738
avia,Новосибирск,Иркутск,4816
avia,Иркутск,Бодайбо,4633
avia,Нижний Новгород,Москва,4599
avia,Москва,Ухта,4574
avia,Бодайбо,Иркутск,4616
avia,Сургут,Самара,4816
avia,Мирный,Новосибирск,4640
avia,Новосибирск,Краснодар,4627
avia,Краснодар,Сургут,4572
avia,Саранск,Москва,4582
avia,Москва,Ноябрьск,4303
avia,Москва,Петрозаводск,4504
avia,Петрозаводск,Москва,4440
avia,Уфа,Краснодар,4462
avia,Ростов-на-Дону,Симферополь (Крым),4401
avia,Красноярск,Санкт-Петербург,4283
avia,Краснодар,Новосибирск,4448
avia,Москва,Ханты-Мансийск,4301
avia,Сочи,Тюмень,4075
avia,Санкт-Петербург,Нижнекамск,4229
avia,Ухта,Москва,4139
avia,Краснодар,Самара,4161
avia,Киров,Санкт-Петербург,3985
avia,Краснодар,Уфа,3849
avia,Новый Уренгой,Уфа,4057
avia,Тюмень,Сочи,4057
avia,Санкт-Петербург,Владикавказ,4032
avia,Екатеринбург,Симферополь (Крым),3940
avia,Белоярский,Тюмень,3920
avia,Уфа,Новый Уренгой,4050
avia,Санкт-Петербург,Нижний Новгород,3803
avia,Самара,Краснодар,3834
avia,Москва,Чита,3900
avia,Тюмень,Белоярский,4018
avia,Москва,Геленджик,3928
avia,Уфа,Сургут,3757
avia,Сочи,Самара,3672
avia,Томск,Стрежевой,3894
avia,Екатеринбург,Салехард,3923
avia,Краснодар,Тюмень,3916
avia,Тюмень,Минеральные Воды,3659
avia,Екатеринбург,Самара,3700
avia,Иркутск,Новосибирск,3639
avia,Владикавказ,Санкт-Петербург,3790
avia,Красноярск,Краснодар,3632
avia,Ростов-на-Дону,Сочи,3462
avia,Нижнекамск,Санкт-Петербург,3701
avia,Казань,Краснодар,3678
avia,Тюмень,Надым,3475
avia,Минеральные Воды,Екатеринбург,3538
avia,Геленджик,Москва,3657
avia,Сургут,Омск,3505
avia,Санкт-Петербург,Киров,3356
avia,Ростов-на-Дону,Махачкала,3620
avia,Санкт-Петербург,Ставрополь,3522
avia,Ставрополь,Санкт-Петербург,3368
avia,Краснодар,Казань,3545
avia,Махачкала,Ростов-на-Дону,3343
avia,Новосибирск,Новый Уренгой,3467
avia,Иркутск,Усть-Кут,3241
avia,Новосибирск,Мирный,3436
avia,Симферополь (Крым),Самара,3491
avia,Сочи,Ростов-на-Дону,3321
avia,Самара,Екатеринбург,3293
avia,Новый Уренгой,Санкт-Петербург,3367
avia,Самара,Сочи,3364
avia,Надым,Тюмень,3321
avia,Нижний Новгород,Санкт-Петербург,3334
avia,Элиста,Москва,3286
avia,Тюмень,Краснодар,3219
avia,Минеральные Воды,Тюмень,3210
avia,Салехард,Екатеринбург,3314
avia,Москва,Новокузнецк,3219
avia,Мурманск,Краснодар,3129
avia,Сургут,Тюмень,3058
avia,Норильск,Москва,3089
avia,Санкт-Петербург,Апатиты,3163
avia,Усть-Кут,Иркутск,3318
avia,Новокузнецк,Москва,3240
avia,Ростов-на-Дону,Грозный,3126
avia,Санкт-Петербург,Ижевск,3102
avia,Красноярск,Норильск,2946
avia,Москва,Элиста,3155
avia,Южно-Сахалинск,Владивосток,3003
avia,Краснодар,Мурманск,2950
avia,Владивосток,Хабаровск,3117
avia,Самара,Симферополь (Крым),3072
avia,Краснодар,Нижний Новгород,3029
avia,Нерюнгри,Иркутск,2994
avia,Екатеринбург,Минеральные Воды,2875
avia,Уфа,Ростов-на-Дону,3076
avia,Ростов-на-Дону,Нижний Новгород,3074
avia,Ухта,Санкт-Петербург,2987
avia,Москва,Мирный,2938
avia,Москва,Апатиты,3078
avia,Апатиты,Санкт-Петербург,2801
avia,Стрежевой,Томск,3006
avia,Краснодар,Махачкала,2781
avia,Симферополь (Крым),Екатеринбург,2987
avia,Новый Уренгой,Салехард,2843
avia,Самара,Сургут,2835
avia,Сочи,Сургут,2976
avia,Апатиты,Москва,2989
avia,Санкт-Петербург,Новый Уренгой,2742
avia,Чита,Москва,2892
avia,Сургут,Минеральные Воды,2811
avia,Санкт-Петербург,Ухта,2759
avia,Ростов-на-Дону,Новосибирск,2771
avia,Мирный,Москва,2757
avia,Якутск,Ленск,2842
avia,Красноярск,Иркутск,2833
avia,Краснодар,Челябинск,2593
avia,Сургут,Сочи,2566
avia,Салехард,Новый Уренгой,2550
avia,Эвенск,Магадан,2562
avia,Омск,Краснодар,2649
avia,Минеральные Воды,Сургут,2674
avia,Иркутск,Владивосток,2669
avia,Нижний Новгород,Краснодар,2668
avia,Санкт-Петербург,Астрахань,2627
avia,Грозный,Ростов-на-Дону,2744
avia,Тюмень,Нижневартовск,2669
avia,Нижний Новгород,Ростов-на-Дону,2678
avia,Владивосток,Южно-Сахалинск,2728
avia,Иркутск,Красноярск,2529
avia,Москва,Псков,2636
avia,Тюмень,Сургут,2529
avia,Новый Уренгой,Екатеринбург,2526
avia,Омск,Сургут,2695
avia,Санкт-Петербург,Иркутск,2647
avia,Новосибирск,Ростов-на-Дону,2449
avia,Ростов-на-Дону,Самара,2486
avia,Нерюнгри,Красноярск,2651
avia,Санкт-Петербург,Салехард,2700
avia,Нижневартовск,Тюмень,2485
avia,Нерюнгри,Новосибирск,2645
avia,Казань,Ростов-на-Дону,2518
avia,Самара,Ростов-на-Дону,2599
avia,Сочи,Симферополь (Крым),2431
avia,Краснодар,Омск,2477
avia,Белоярский,Нягань,2427
avia,Норильск,Красноярск,2517
avia,Красноярск,Новосибирск,2472
avia,Мурманск,Архангельск,2454
avia,Екатеринбург,Ростов-на-Дону,2408
avia,Ростов-на-Дону,Екатеринбург,2503
avia,Абакан,Москва,2528
avia,Иркутск,Нерюнгри,2341
avia,Санкт-Петербург,Барнаул,2343
avia,Хабаровск,Владивосток,2404
avia,Пермь,Сочи,2492
avia,Астрахань,Санкт-Петербург,2531
avia,Калуга,Краснодар,2344
avia,Анадырь,Москва,2469
avia,Краснодар,Пермь,2470
avia,Псков,Москва,2318
avia,Москва,Норильск,2455
avia,Калуга,Санкт-Петербург,2419
avia,Хабаровск,Николаевск-на-Амуре,2360
avia,Красноярск,Сочи,2321
avia,Санкт-Петербург,Чебоксары,2374
avia,Краснодар,Новый Уренгой,2380
avia,Красноярск,Екатеринбург,2443
avia,Челябинск,Краснодар,2391
avia,Пермь,Краснодар,2319
avia,Тюмень,Ростов-на-Дону,2291
avia,Екатеринбург,Сургут,2341
avia,Санкт-Петербург,Ноябрьск,2279
avia,Мирный,Иркутск,2319
avia,Екатеринбург,Новосибирск,2177
avia,Санкт-Петербург,Калуга,2303
avia,Новосибирск,Тюмень,2185
avia,Краснодар,Красноярск,2278
avia,Москва,Усинск,2375
avia,Сургут,Красноярск,2190
avia,Николаевск-на-Амуре,Хабаровск,2230
avia,Улан-Удэ,Нижнеангарск,2288
avia,Сочи,Уфа,2310
avia,Москва,Анадырь,2161
avia,Ростов-на-Дону,Тюмень,2277
avia,Ижевск,Санкт-Петербург,2267
avia,Якутск,Усть-Нера,2123
avia,Иркутск,Мирный,2251
avia,Новый Уренгой,Казань,2201
avia,Красноярск,Сургут,2261
avia,Ханты-Мансийск,Уфа,2156
avia,Тюмень,Симферополь (Крым),2087
avia,Салехард,Санкт-Петербург,2200
avia,Иркутск,Санкт-Петербург,2136
avia,Новый Уренгой,Омск,2104
avia,Краснодар,Брянск,2031
avia,Ростов-на-Дону,Сургут,2031
avia,Сургут,Казань,2206
avia,Нижневартовск,Самара,2171
avia,Тюмень,Новосибирск,2137
avia,Сочи,Омск,2110
avia,Чебоксары,Санкт-Петербург,2096
avia,Удачный,Новосибирск,2120
avia,Екатеринбург,Новый Уренгой,2136
avia,Ханты-Мансийск,Тюмень,1993
avia,Северо-Енисейский,Новосибирск,2020
avia,Омск,Сочи,2162
avia,Сочи,Пермь,2132
avia,Новосибирск,Красноярск,1977
avia,Салехард,Ноябрьск,2103
avia,Брянск,Краснодар,1992
avia,Чита,Иркутск,2114
avia,Магадан,Эвенск,2093
avia,Сочи,Новосибирск,2039
avia,Симферополь (Крым),Сочи,2006
avia,Новый Уренгой,Краснодар,2020
avia,Улан-Удэ,Иркутск,2032
avia,Ленск,Якутск,1984
avia,Усть-Нера,Якутск,2047
avia,Санкт-Петербург,Томск,2084
avia,Уфа,Сочи,1940
avia,Иркутск,Улан-Удэ,2027
avia,Ноябрьск,Санкт-Петербург,2039
avia,Мурманск,Симферополь (Крым),2002
avia,Тюмень,Ханты-Мансийск,2063
avia,Томск,Санкт-Петербург,1985
avia,Новосибирск,Екатеринбург,2021
avia,Ростов-на-Дону,Уфа,1944
avia,Сочи,Красноярск,2007
avia,Волгоград,Краснодар,1875
avia,Москва,Абакан,1959
avia,Уфа,Екатеринбург,1880
avia,Тюмень,Ноябрьск,2014
avia,Новосибирск,Нерюнгри,1983
avia,Сыктывкар,Краснодар,1895
avia,Томск,Краснодар,1930
avia,Новосибирск,Удачный,1891
avia,Тюмень,Толька,1921
