,city,first_1000,first_10000,first_100000,last_1000
122,Великие Луки,44.0,57.0,-1.0,149.0
123,Великий Устюг,-1.0,-1.0,-1.0,0.0
124,Вельск,64.0,-1.0,-1.0,127.0
125,Верещагино,91.0,-1.0,-1.0,170.0
126,Верея,61.0,-1.0,-1.0,82.0
127,Верхневилюйск,-1.0,-1.0,-1.0,0.0
128,Верхнеуральск,91.0,-1.0,-1.0,124.0
129,Верхний Тагил,74.0,-1.0,-1.0,122.0
130,Верхний Уфалей,82.0,-1.0,-1.0,159.0
131,Верхняя Салда,78.0,-1.0,-1.0,168.0
132,Верхняя Тура,82.0,-1.0,-1.0,119.0
133,Верхотурье,-1.0,-1.0,-1.0,0.0
134,Весьегонск,62.0,-1.0,-1.0,93.0
135,Вилюйск,-1.0,-1.0,-1.0,0.0
136,Вихоревка,156.0,-1.0,-1.0,-1.0
137,Вичуга,53.0,-1.0,-1.0,127.0
138,Владивосток,51.0,64.0,94.0,-1.0
139,Владикавказ,48.0,60.0,-1.0,-1.0
140,Владимир,39.0,50.0,-1.0,176.0
141,Волгоград,38.0,48.0,62.0,-1.0
142,Волгодонск,42.0,54.0,-1.0,160.0
143,Волгореченск,65.0,-1.0,-1.0,117.0
144,Волжск,68.0,-1.0,-1.0,167.0
145,Волжский,56.0,69.0,-1.0,-1.0
146,Вологда,42.0,53.0,-1.0,174.0
147,Волоколамск,50.0,-1.0,-1.0,117.0
148,Волхов,70.0,-1.0,-1.0,159.0
149,Волчанск,117.0,-1.0,-1.0,137.0
150,Вольск,53.0,69.0,-1.0,143.0
151,Воркута,66.0,91.0,-1.0,170.0
152,Воронеж,33.0,44.0,58.0,-1.0
153,Воскресенск,62.0,83.0,-1.0,173.0
154,Воткинск,55.0,71.0,-1.0,161.0
155,Вуктыл,68.0,-1.0,-1.0,110.0
156,Выборг,56.0,72.0,-1.0,152.0
157,Выкса,53.0,71.0,-1.0,139.0
158,Вытегра,60.0,-1.0,-1.0,100.0
159,Вышний Волочёк,58.0,78.0,-1.0,141.0
160,Вяземский,-1.0,-1.0,-1.0,0.0
161,Вязники,49.0,71.0,-1.0,129.0
162,Вязьма,46.0,62.0,-1.0,136.0
163,Вятские Поляны,62.0,-1.0,-1.0,138.0
164,Гаврилов Посад,59.0,-1.0,-1.0,87.0
165,Гаврилов-Ям,74.0,-1.0,-1.0,131.0
166,Гагарин,48.0,-1.0,-1.0,123.0
167,Галич,78.0,-1.0,-1.0,138.0
168,Гатчина,77.0,117.0,-1.0,-1.0
169,Гдов,66.0,-1.0,-1.0,76.0
170,Геленджик,56.0,74.0,-1.0,140.0
171,Георгиевск,68.0,93.0,-1.0,172.0
172,Глазов,56.0,73.0,-1.0,161.0
173,Голицыно,78.0,-1.0,-1.0,139.0
174,Горно-Алтайск,79.0,-1.0,-1.0,-1.0
175,Горнозаводск,78.0,-1.0,-1.0,123.0
176,Горняк,103.0,-1.0,-1.0,147.0
177,Городовиковск,59.0,-1.0,-1.0,97.0
178,Гороховец,60.0,-1.0,-1.0,107.0
179,Горячий Ключ,67.0,-1.0,-1.0,137.0
180,Гремячинск,-1.0,-1.0,-1.0,0.0
181,Грозный,53.0,67.0,-1.0,-1.0
182,Грязи,53.0,73.0,-1.0,133.0
183,Грязовец,99.0,-1.0,-1.0,159.0
184,Губаха,68.0,-1.0,-1.0,142.0
185,Губкин,49.0,63.0,-1.0,147.0
186,Губкинский,79.0,-1.0,-1.0,142.0
187,Гудермес,90.0,-1.0,-1.0,-1.0
188,Гуково,52.0,69.0,-1.0,143.0
189,Гулькевичи,94.0,-1.0,-1.0,-1.0
190,Гурьевск,106.0,-1.0,-1.0,147.0
191,Гусиноозёрск,-1.0,-1.0,-1.0,0.0
192,Гусь-Хрустальный,59.0,78.0,-1.0,148.0
193,Давлеканово,-1.0,-1.0,-1.0,0.0
194,Дагомыс,69.0,97.0,-1.0,179.0
195,Далматово,79.0,-1.0,-1.0,128.0
196,Дальнегорск,79.0,-1.0,-1.0,164.0
197,Дальнереченск,96.0,-1.0,-1.0,178.0
198,Данилов,70.0,-1.0,-1.0,122.0
199,Данков,48.0,-1.0,-1.0,115.0
200,Дегтярск,74.0,-1.0,-1.0,129.0
201,Демидов,62.0,-1.0,-1.0,91.0
202,Депутатский,-1.0,-1.0,-1.0,0.0
203,Дербент,64.0,85.0,-1.0,-1.0
204,Десногорск,49.0,-1.0,-1.0,122.0
205,Дзержинск,55.0,70.0,-1.0,-1.0
206,Дивногорск,84.0,-1.0,-1.0,161.0
207,Диксон,-1.0,-1.0,-1.0,0.0
208,Димитровград,62.0,79.0,-1.0,175.0
209,Дмитриев-Льговский,88.0,-1.0,-1.0,114.0
210,Дмитров,65.0,91.0,-1.0,164.0
211,Дно,62.0,-1.0,-1.0,96.0
212,Добрянка,105.0,-1.0,-1.0,-1.0
213,Долинск,-1.0,-1.0,-1.0,0.0
214,Домодедово,71.0,98.0,-1.0,-1.0
215,Донецк,65.0,-1.0,-1.0,154.0
216,Донской,62.0,85.0,-1.0,160.0
217,Дорогобуж,60.0,-1.0,-1.0,100.0
218,Дубна,76.0,-1.0,-1.0,-1.0
219,Дубовка,91.0,-1.0,-1.0,145.0
220,Духовщина,67.0,-1.0,-1.0,76.0
221,Дюртюли,83.0,-1.0,-1.0,170.0
222,Дятьково,48.0,-1.0,-1.0,122.0
223,Евпатория,59.0,75.0,-1.0,167.0
224,Егорьевск,50.0,65.0,-1.0,142.0
225,Ейск,47.0,61.0,-1.0,146.0
226,Екатеринбург,42.0,54.0,71.0,-1.0
227,Елабуга,92.0,-1.0,-1.0,-1.0
228,Елец,40.0,54.0,-1.0,152.0
229,Ельня,54.0,-1.0,-1.0,98.0
230,Еманжелинск,99.0,-1.0,-1.0,-1.0
231,Емва,73.0,-1.0,-1.0,124.0
232,Енисейск,90.0,-1.0,-1.0,153.0
233,Ербогачён,-1.0,-1.0,-1.0,0.0
234,Ершов,69.0,-1.0,-1.0,129.0
235,Ессентуки,56.0,71.0,-1.0,158.0
236,Железноводск,82.0,-1.0,-1.0,159.0
237,Железногорск,55.0,72.0,-1.0,155.0
238,Железногорск-Илимский,141.0,-1.0,-1.0,-1.0
239,Железнодорожный,72.0,100.0,-1.0,-1.0
240,Жердевка,56.0,-1.0,-1.0,107.0
241,Жиганск,-1.0,-1.0,-1.0,0.0
242,Жигулёвск,87.0,-1.0,-1.0,-1.0
243,Жиздра,62.0,-1.0,-1.0,84.0
244,Жирновск,54.0,-1.0,-1.0,110.0
245,Жуковка,-1.0,-1.0,-1.0,0.0
246,Забайкальск,-1.0,-1.0,-1.0,0.0
247,Завитинск,-1.0,-1.0,-1.0,0.0
248,Заводоуковск,91.0,-1.0,-1.0,170.0
249,Заволжск,88.0,-1.0,-1.0,133.0
250,Задонск,59.0,-1.0,-1.0,97.0
251,Заинск,-1.0,-1.0,-1.0,0.0
252,Залахтовье,-1.0,-1.0,-1.0,0.0
253,Заозёрный,81.0,-1.0,-1.0,126.0
254,Западная Двина,56.0,-1.0,-1.0,98.0
255,Зарайск,49.0,-1.0,-1.0,118.0
256,Заречный,95.0,-1.0,-1.0,-1.0
257,Заринск,-1.0,-1.0,-1.0,0.0
258,Звенигород,60.0,-1.0,-1.0,112.0
259,Зверево,54.0,-1.0,-1.0,116.0
260,Зеленогорск (ЗАТО),73.0,105.0,-1.0,175.0
261,Зеленодольск,66.0,89.0,-1.0,-1.0
262,Зеленокумск,57.0,-1.0,-1.0,133.0
263,Зима,105.0,-1.0,-1.0,-1.0
264,Златоуст,66.0,82.0,-1.0,-1.0
265,Злынка,-1.0,-1.0,-1.0,0.0
266,Змеиногорск,110.0,-1.0,-1.0,140.0
267,Знаменск,63.0,-1.0,-1.0,133.0
268,Зубцов,59.0,-1.0,-1.0,90.0
269,Зуевка,-1.0,-1.0,-1.0,0.0
270,Зырянка,-1.0,-1.0,-1.0,0.0
271,Ивангород,56.0,-1.0,-1.0,97.0
272,Иваново,37.0,49.0,-1.0,-1.0
273,Ивдель,87.0,-1.0,-1.0,147.0
274,Игарка,-1.0,-1.0,-1.0,0.0
275,Игрим,-1.0,-1.0,-1.0,0.0
276,Ижевск,28.0,40.0,57.0,-1.0
277,Избербаш,-1.0,-1.0,-1.0,0.0
278,Изборск,-1.0,-1.0,-1.0,0.0
279,Известковый,-1.0,-1.0,-1.0,0.0
280,Изобильный,60.0,-1.0,-1.0,139.0
281,Иланский,95.0,-1.0,-1.0,152.0
282,Иловля,76.0,-1.0,-1.0,119.0
283,Инза,67.0,-1.0,-1.0,125.0
284,Инсар,62.0,-1.0,-1.0,96.0
285,Инта,80.0,-1.0,-1.0,167.0
286,Ипатово,56.0,-1.0,-1.0,121.0
287,Ирбит,74.0,-1.0,-1.0,155.0
288,Иркутск,53.0,66.0,-1.0,-1.0
289,Исилькуль,115.0,-1.0,-1.0,-1.0
290,Искитим,103.0,-1.0,-1.0,-1.0
291,Ишим,78.0,-1.0,-1.0,-1.0
292,Ишимбай,100.0,-1.0,-1.0,-1.0
293,Йошкар-Ола,45.0,57.0,-1.0,171.0
294,Кавалерово,90.0,-1.0,-1.0,140.0
295,Казань,38.0,48.0,63.0,-1.0
296,Казачинское,-1.0,-1.0,-1.0,0.0
297,Калач,73.0,-1.0,-1.0,136.0
298,Калач-на-Дону,55.0,-1.0,-1.0,121.0
299,Калачинск,-1.0,-1.0,-1.0,0.0
300,Калевала,-1.0,-1.0,-1.0,0.0
301,Калининград,43.0,55.0,-1.0,-1.0
302,Калининск,58.0,-1.0,-1.0,110.0
303,Калуга,39.0,51.0,-1.0,174.0
304,Калязин,56.0,-1.0,-1.0,106.0
305,Камбарка,124.0,-1.0,-1.0,144.0
306,Каменка,61.0,-1.0,-1.0,138.0
307,Каменногорск,67.0,-1.0,-1.0,92.0
308,Каменск-Уральский,72.0,93.0,-1.0,-1.0
309,Каменск-Шахтинский,40.0,54.0,-1.0,149.0
310,Камень-на-Оби,111.0,-1.0,-1.0,-1.0
311,Камешково,80.0,-1.0,-1.0,128.0
312,Камышин,47.0,61.0,-1.0,156.0
313,Камышлов,80.0,-1.0,-1.0,153.0
314,Канаш,53.0,74.0,-1.0,135.0
315,Кандалакша,71.0,-1.0,-1.0,153.0
316,Канск,72.0,94.0,-1.0,-1.0
317,Карабаш,86.0,-1.0,-1.0,134.0
318,Карагайский,-1.0,-1.0,-1.0,0.0
319,Карасук,-1.0,-1.0,-1.0,0.0
320,Карачев,-1.0,-1.0,-1.0,0.0
321,Каргасок,-1.0,-1.0,-1.0,0.0
322,Каргат,-1.0,-1.0,-1.0,0.0
323,Карпинск,76.0,-1.0,-1.0,151.0
324,Карталы,79.0,-1.0,-1.0,152.0
325,Касимов,46.0,-1.0,-1.0,126.0
326,Касли,78.0,-1.0,-1.0,134.0
327,Катав-Ивановск,81.0,-1.0,-1.0,138.0
328,Катайск,79.0,-1.0,-1.0,132.0
329,Качканар,70.0,-1.0,-1.0,156.0
330,Кашин,52.0,-1.0,-1.0,111.0
331,Кашира,54.0,-1.0,-1.0,131.0
332,Кемерово,57.0,72.0,-1.0,-1.0
333,Кемь,84.0,-1.0,-1.0,131.0
334,Кепервеем,-1.0,-1.0,-1.0,0.0
335,Керчь,49.0,62.0,-1.0,159.0
336,Кизел,97.0,-1.0,-1.0,168.0
337,Кизилюрт,82.0,-1.0,-1.0,176.0
338,Кизляр,63.0,-1.0,-1.0,148.0
339,Кимры,58.0,77.0,-1.0,139.0
340,Кингисепп,55.0,74.0,-1.0,135.0
341,Кинель,-1.0,-1.0,-1.0,0.0
342,Кинешма,47.0,61.0,-1.0,146.0
343,Киренск,-1.0,-1.0,-1.0,0.0
344,Киржач,46.0,-1.0,-1.0,124.0
345,Кириллов,69.0,-1.0,-1.0,97.0
346,Кириши,57.0,76.0,-1.0,143.0
347,Киров,46.0,-1.0,-1.0,127.0
348,Кировград,73.0,-1.0,-1.0,138.0
349,Кирсанов,59.0,-1.0,-1.0,111.0
350,Киселёвск,133.0,-1.0,-1.0,-1.0
351,Кисловодск,51.0,65.0,-1.0,160.0
352,Клин,68.0,95.0,-1.0,-1.0
353,Клинцы,54.0,72.0,-1.0,143.0
354,Ковров,48.0,60.0,-1.0,158.0
355,Ковылкино,62.0,-1.0,-1.0,123.0
356,Когалым,69.0,-1.0,-1.0,161.0
357,Кодинск,87.0,-1.0,-1.0,140.0
358,Козельск,53.0,-1.0,-1.0,111.0
359,Козьмодемьянск,77.0,-1.0,-1.0,146.0
360,Кола,-1.0,-1.0,-1.0,0.0
361,Коломна,51.0,65.0,-1.0,163.0
362,Колпашево,103.0,-1.0,-1.0,-1.0
