;Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
61;62;Новокузнецк;Kemerovo;;"[ 0.51325655  0.37388056  0.41642404  0.35654229  0.18734915  0.33710493
  0.19510404  0.2395734   0.20218369  0.05639771  0.08938826  0.
  0.          0.06845498 -0.          0.07338344 -0.         -0.
 -0.         -0.          0.13426756  0.1036625   0.20215023 -0.
  0.08750205  0.02480938  0.23003795  0.15313499]";[0.48408737526485385, 0.3779722364418986, 0.390800577934378, 0.3187086263469858, 0.19656988721371532, 0.3334265317656844, 0.22499291107456487, 0.25668706328598484, 0.22853273848392852, 0.11365156362987994, 0.10442300974753968, 0.06649513041106446, 0.06649513041106446, 0.15533260673563376, 0.0, 0.15492728193540523, 0.0, 0.0, 0.045195163218724084, 0.0, 0.15047445193949816, 0.13945844942703245, 0.1185148577351138, 0.0, 0.0543659601223422, 0.012404690057137714, 0.3141167406463241, 0.17907589964288897]
62;63;Калининград;Kaliningrad;Kaliningrad;"[ 0.40649737  0.35216369  0.36130269  0.40029123  0.23142106  0.35900724
  0.20927062  0.25088482  0.17059327  0.11972896  0.22217442  0.19018725
  0.04264832 -0.          0.34253572 -0.          0.1265528   0.16913621
  0.08285579  0.10010217 -0.          0.08710015 -0.          0.03745461
 -0.         -0.         -0.         -0.        ]";[0.4064973739141347, 0.3521636907881387, 0.3613026864541507, 0.40029123098106445, 0.23142105707200847, 0.35900723892675385, 0.20927062351471326, 0.2508848230600867, 0.1705932662953623, 0.11972896145104225, 0.22217441631400275, 0.19018725141103776, 0.04264831657384058, 0.0, 0.3425357211220429, 0.0, 0.12655279983010245, 0.16913621440516313, 0.08285578885432243, 0.10010216510646702, 0.0, 0.0871001531103365, 0.0, 0.03745460934320126, 0.0, 0.0, 0.0, 0.0]
63;64;Элиста;Kalmykia;;"[ 0.91110053  0.19254531  0.3644477   0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.43486298  0.07638887 -0.
  0.05581697 -0.         -0.         -0.          0.24915714 -0.
  0.21597573  0.13142704  0.24900051  0.83457553]";[0.9111005300062723, 0.19254531308892367, 0.3644477008156011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4348629759539118, 0.07638886674863926, 0.0, 0.05581696932570362, 0.0, 0.0, 0.0, 0.2491571397335519, 0.0, 0.21597572740799287, 0.13142703824609908, 0.2490005065012591, 0.8345755280698337]
64;65;Санкт-Петербург;Saint Petersburg;;"[ 0.52257487  0.30084559  0.39717624  0.46045549  0.17024528  0.39700884
  0.15283119  0.10682442  0.          0.          0.19184479  0.09201354
  0.         -0.          1.19527473 -0.          0.63380944  0.73116102
 -0.          1.06733151 -0.         -0.         -0.          1.41174471
 -0.          0.15085635 -0.         -0.        ]";[0.5225748708529347, 0.3008455855157335, 0.3971762377795661, 0.4604554891348557, 0.17024528472664446, 0.39700883859586567, 0.1528311869486791, 0.10682441540419711, 0.0, 0.0, 0.19184478689898007, 0.09201354308896392, 0.0, 0.0, 1.1952747324631614, 0.0, 0.6338094368742049, 0.7311610209089947, 0.0, 1.0673315135495018, 0.0, 0.0, 0.0, 1.4117447129343883, 0.0, 0.15085634573470197, 0.0, 0.0]
65;66;Бор;Nizhny Novgorod;Borskiy;"[ 0.85961759  0.28341739  0.42512609  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.49675842  0.02278213 -0.
  0.2481285  -0.         -0.         -0.          0.1078745  -0.
  0.23393838  0.21402871  0.0906441   1.05428392]";[0.6583961256742636, 0.32984853862590524, 0.39049385090784805, 0.22204454285601105, 0.10900775558620254, 0.18622564967252617, 0.07229330999230067, 0.09849873942150696, 0.07229330999230067, 0.024097769997433554, 0.07229330999230067, 0.09414735097811028, 0.0, 0.0, 0.14090546027973186, 0.2565799558973754, 0.06704416338342502, 0.04889320654603552, 0.1412760633721447, 0.010591521813144296, 0.0, 0.0, 0.065909983705281, 0.0, 0.11696918891514431, 0.10701435463906091, 0.045322049743132045, 0.6145489315489109]
66;67;Москва;Moscow City;Podolsky;"[ 0.55072938  0.35956873  0.38832564  0.47690761  0.          0.41054693
  0.07506173  0.12242041  0.          0.          0.          0.
  0.         -0.          1.17209608 -0.          1.09834641  0.53534948
 -0.          1.50362561 -0.         -0.         -0.          1.6050458
  0.41961377 -0.         -0.         -0.        ]";[0.5507293832958562, 0.3595687268444671, 0.38832564097530564, 0.47690761362256023, 0.0, 0.41054693120467284, 0.07506172846064488, 0.12242040630096719, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1720960779209177, 0.0, 1.0983464055767487, 0.5353494785185252, 0.0, 1.5036256135743393, 0.0, 0.0, 0.0, 1.6050458012689284, 0.41961376751707746, 0.0, 0.0, 0.0]
67;68;Батагай;Sakha;Verkhoyanskiy;"[ 0.82970921  0.37810409  0.41063356  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.5064321  -0.         -0.
  0.37400039 -0.         -0.         -0.          0.0925614  -0.
  0.09535602  0.27156329  0.02014711  1.19128091]";[0.656277779083061, 0.34718699095026795, 0.4735050100231168, 0.061809252660250086, 0.02712064092916293, 0.07873439292377876, 0.1022909930060047, 0.1332956332958204, 0.042570522737523535, 0.006482320251983309, 0.026003037335561075, 0.013570032975275854, 0.0039689893314037794, 0.09953900202108407, 0.047992471608334634, 0.32745615760560187, 0.01829217772915762, 0.06892315259914072, 0.29538610026526274, 0.15948007988313612, 0.04427072372719436, 0.10877998018643308, 0.09096118270108326, 0.18480658075029235, 0.16046884669619865, 0.17977665103642712, 0.1165481136985159, 0.8139049751858033]
68;69;Сусуман;Magadan;Susumanskiy;"[ 0.79304623  0.45318154  0.40706778  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.49228267 -0.         -0.
  0.38268216 -0.         -0.         -0.         -0.          0.13705326
  0.04883144  0.27789617  0.09002333  1.27162935]";[0.7245788289634506, 0.4365031605250376, 0.40027015924119463, 0.06777971500241688, 0.04352478509610177, 0.06777971500241688, 0.04290773614630323, 0.05284148379509838, 0.04352478509610177, 0.024871978856113648, 0.035604871793015073, 0.0332859413043375, 0.015250184014147924, 0.1635037526350551, 0.037606790059714026, 0.3938261351186319, 0.018229131587176158, 0.06100103858595139, 0.30614572665708245, 0.09706287613319678, 0.0, 0.17453547391928112, 0.04499486499653055, 0.20751656690671152, 0.18921064713691046, 0.2708589092647434, 0.07201866793602657, 1.017303477746018]
69;70;Сочи;Krasnodar;Sochi;"[ 0.46927139  0.39284355  0.33602223  0.44667017  0.20729088  0.3811511
  0.07367492  0.16664232  0.1859348   0.          0.1394511   0.19383354
  0.         -0.          0.63350877 -0.          0.25802277  0.19276006
 -0.          0.46403193 -0.         -0.         -0.          0.51521424
 -0.         -0.         -0.         -0.        ]";[0.45501132936949173, 0.37180412391441575, 0.3697548432302425, 0.38941274899239703, 0.21123778109599545, 0.3583799487270082, 0.16445260994709987, 0.22939355921635396, 0.1940568307675571, 0.04682827193240591, 0.16544873086869555, 0.17012599278878077, 0.03944172862236948, 0.09437814718202603, 0.338971218314621, 0.03764812252717204, 0.14914175728874, 0.12059743506641857, 0.016486342376021992, 0.2674833613239002, 0.05469544842837564, 0.11366994931425205, 0.053160396508774695, 0.29382023608790775, 0.06078112982472114, 0.0, 0.050678571855533906, 0.07075416107619201]
70;71;Николаевск-на-Амуре;Khabarovsk;Nikolayevsky District;"[ 0.79266663  0.39947367  0.43384164  0.          0.          0.15453751
  0.          0.          0.          0.          0.          0.
  0.         -0.          0.02438999  0.36931193 -0.         -0.
  0.17182558 -0.          0.08959864 -0.          0.23435961 -0.
 -0.          0.14359378  0.63210628  0.71218135]";[0.5893672168406836, 0.33432258961392103, 0.47667950876733317, 0.0878807749705438, 0.0635736595493419, 0.11676278789946151, 0.12064646928831935, 0.1349035049886655, 0.06865113229102536, 0.012900515471751525, 0.03167556788255189, 0.05054793159378664, 0.012900515471751525, 0.16509817563056722, 0.04580462182107477, 0.252026232805019, 0.023243224455427782, 0.06218849668257568, 0.1530810775216262, 0.1702062085022003, 0.056924717364419015, 0.2627957324652336, 0.07597123080141192, 0.3153558826437845, 0.28784290980802535, 0.12411886915582716, 0.1919159046243295, 0.5354443407397447]
