source,target,pass_day,transport,source_lat,source_lng,target_lat,target_lng,target_population,source_population
Липецк,Барнаул,2.1,avia,52.6041877,39.5936899,53.347402,83.77844959999999,635585.0,46798.0
Волгоград,Благовещенск,2.4,avia,48.64820995,44.3857637990291,50.290527000000004,127.527161,214397.0,1021244.0
Казань,Хабаровск,2.466666666666667,avia,55.7823547,49.1242266,48.481403,135.07693500000002,42977.0,1216965.0
Нижнекамск,Астрахань,2.033333333333333,avia,55.641287899999995,51.8160376,46.3652486,48.0552168617783,520662.0,234108.0
Нальчик,Ижевск,2.3,avia,43.4883695,43.610560193588,56.86655699999999,53.2094166,628117.0,240095.0
Петропавловск-Камчатский,Екатеринбург,2.6666666666666665,avia,53.0199693,158.6472187,56.839104000000006,60.60825,1377738.0,179526.0
Симферополь (Крым),Братск,1.9666666666666666,avia,44.9521457,34.1024858,56.1517085,101.6334907,246348.0,332317.0
Барнаул,Томск,1.4666666666666666,avia,53.347402,83.77844959999999,58.6124279,82.04753149999999,25614.0,635585.0
Ханты-Мансийск,Грозный,1.7666666666666666,avia,61.00346,69.01915699999999,43.319703100000005,45.693430799999994,271596.0,20283.0
Ставрополь,Ульяновск,2.8,avia,45.0433245,41.9690934,54.146317700000004,47.2324921,17149.0,32736.0
Калининград,Ульяновск,1.8666666666666667,avia,54.710128000000005,20.510583800000003,54.146317700000004,47.2324921,17149.0,6399.0
Уфа,Томск,2.033333333333333,avia,54.726288000000004,55.947727,58.6124279,82.04753149999999,25614.0,1062300.0
Чита,Волгоград,1.9666666666666666,avia,52.033409000000006,113.50089299999999,48.64820995,44.3857637990291,1021244.0,323964.0
Калининград,Магадан,2.1333333333333333,avia,54.710128000000005,20.510583800000003,59.56047679999999,150.79886169999997,95925.0,6399.0
Нижний Новгород,Салехард,2.5,avia,56.328571,44.003506,66.5375387,66.6157469,42494.0,1250615.0
Самара,Братск,2.3666666666666667,avia,53.198627,50.113987,56.1517085,101.6334907,246348.0,1164900.0
Ульяновск,Нижний Новгород,2.7,avia,54.146317700000004,47.2324921,56.328571,44.003506,1250615.0,17149.0
Новокузнецк,Казань,2.8333333333333335,avia,53.75760699999999,87.136101,55.7823547,49.1242266,1216965.0,547885.0
Екатеринбург,Абакан,1.8,avia,56.839104000000006,60.60825,53.7209024,91.442435,165183.0,1377738.0
Охотск,Николаевск-на-Амуре,1.8666666666666667,avia,59.364392099999996,143.2410816,53.138729000000005,140.72493,22773.0,3298.0
Красноярск,Киров,1.8666666666666667,avia,56.0090968,92.8725147,58.6035257,49.6639029,31888.0,2180.0
Ростов-на-Дону,Братск,2.7333333333333334,avia,47.22138579999999,39.7114196,56.1517085,101.6334907,246348.0,1091544.0
Тюмень,Чебоксары,2.6,avia,57.15353399999999,65.542274,56.1307195,47.2449597,447929.0,581758.0
Абакан,Ижевск,1.8333333333333333,avia,53.7209024,91.442435,56.86655699999999,53.2094166,628117.0,165183.0
Череповец,Омск,2.8333333333333335,avia,59.128696,37.916389,54.991375,73.37152900000001,25905.0,312311.0
Грозный,Екатеринбург,1.8,avia,43.319703100000005,45.693430799999994,56.839104000000006,60.60825,1377738.0,271596.0
Владикавказ,Нижний Новгород,1.5333333333333334,avia,43.024592999999996,44.682109999999994,56.328571,44.003506,1250615.0,311635.0
Нижний Новгород,Нижнекамск,2.8666666666666667,avia,56.328571,44.003506,55.641287899999995,51.8160376,234108.0,1250615.0
Братск,Владивосток,1.6333333333333333,avia,56.1517085,101.6334907,43.1150678,131.8855768,592069.0,246348.0
Минеральные Воды,Симферополь (Крым),1.6,avia,44.2107377,43.134969,44.9521457,34.1024858,332317.0,76715.0
Советский,Геленджик,2.566666666666667,avia,61.362099,63.57354,44.56094470000001,38.076683200000005,54813.0,26434.0
Новокузнецк,Пенза,2.8666666666666667,avia,53.75760699999999,87.136101,53.200001,45.0,519592.0,547885.0
Самара,Нижнекамск,2.1,avia,53.198627,50.113987,55.641287899999995,51.8160376,234108.0,1164900.0
Астрахань,Хабаровск,2.8,avia,46.3652486,48.0552168617783,48.481403,135.07693500000002,42977.0,520662.0
Новый Уренгой,Нижневартовск,2.033333333333333,avia,66.085196,76.6799167,60.9339411,76.58142740000001,251860.0,104144.0
Саккырыр,Якутск,2.466666666666667,avia,67.799362,130.403229,62.027287,129.732086,269486.0,1722.0
Санкт-Петербург,Петрозаводск,2.033333333333333,avia,59.960673899999996,30.158655100000004,61.790039,34.390007000000004,263540.0,4848742.0
Южно-Сахалинск,Махачкала,2.1333333333333333,avia,46.9574273,142.72743799999998,42.9830241,47.5048717,577990.0,181727.0
Петрозаводск,Екатеринбург,2.7333333333333334,avia,61.790039,34.390007000000004,56.839104000000006,60.60825,1377738.0,263540.0
Воронеж,Абакан,1.5666666666666667,avia,51.6605982,39.20058579999999,53.7209024,91.442435,165183.0,19738.0
Калининград,Ноябрьск,2.6333333333333333,avia,54.710128000000005,20.510583800000003,63.2002917,75.4475807,110572.0,6399.0
Нарьян-Мар,Минеральные Воды,2.1666666666666665,avia,67.6380175,53.0071044,44.2107377,43.134969,76715.0,21296.0
Самара,Южно-Сахалинск,2.3666666666666667,avia,53.198627,50.113987,46.9574273,142.72743799999998,181727.0,1164900.0
Симферополь (Крым),Мирный,2.8333333333333335,avia,44.9521457,34.1024858,62.541077,113.97858400000001,30259.0,332317.0
Челябинск,Ульяновск,2.2666666666666666,avia,55.15984079999999,61.4025547,54.146317700000004,47.2324921,17149.0,31916.0
Геленджик,Магнитогорск,1.8666666666666667,avia,44.56094470000001,38.076683200000005,53.4242184,58.983136,408401.0,54813.0
Екатеринбург,Кызыл,2.2,avia,56.839104000000006,60.60825,51.7190995,94.4300627,109906.0,1377738.0
Магадан,Екатеринбург,2.8333333333333335,avia,59.56047679999999,150.79886169999997,56.839104000000006,60.60825,1377738.0,95925.0
Норильск,Горно-Алтайск,1.8666666666666667,avia,69.34983940000001,88.200517,51.957775,85.96365300000001,62861.0,175301.0
Пермь,Белгород,2.466666666666667,avia,58.014965000000004,56.246722999999996,50.5955595,36.5873394,39026.0,1000679.0
Салехард,Саратов,1.7666666666666666,avia,66.5375387,66.6157469,51.530018,46.034683,12846.0,42494.0
Саранск,Краснодар,2.2666666666666666,avia,54.18671,45.18383,45.0352566,38.976481400000004,34926.0,318841.0
Ханты-Мансийск,Салехард,2.8,avia,61.00346,69.01915699999999,66.5375387,66.6157469,42494.0,20283.0
Хабаровск,Нижневартовск,2.1666666666666665,avia,48.481403,135.07693500000002,60.9339411,76.58142740000001,251860.0,42977.0
Иркутск,Магнитогорск,2.3,avia,52.289597,104.280586,53.4242184,58.983136,408401.0,6751.0
Красноярск,Ноябрьск,1.8333333333333333,avia,56.0090968,92.8725147,63.2002917,75.4475807,110572.0,2180.0
Санкт-Петербург,Когалым,2.033333333333333,avia,59.960673899999996,30.158655100000004,62.26798,74.4889068,58192.0,4848742.0
Анапа,Благовещенск,1.5666666666666667,avia,44.894271999999994,37.316887,50.290527000000004,127.527161,214397.0,58983.0
Чита,Пенза,2.066666666666667,avia,52.033409000000006,113.50089299999999,53.200001,45.0,519592.0,323964.0
Белгород,Нижнекамск,1.9,avia,50.5955595,36.5873394,55.641287899999995,51.8160376,234108.0,39026.0
Магнитогорск,Ростов-на-Дону,2.3,avia,53.4242184,58.983136,47.22138579999999,39.7114196,1091544.0,408401.0
Магнитогорск,Симферополь (Крым),1.7666666666666666,avia,53.4242184,58.983136,44.9521457,34.1024858,332317.0,408401.0
Ставрополь,Томск,2.8666666666666667,avia,45.0433245,41.9690934,58.6124279,82.04753149999999,25614.0,32736.0
Когалым,Казань,2.5,avia,62.26798,74.4889068,55.7823547,49.1242266,1216965.0,58192.0
Курган,Ростов-на-Дону,2.2,avia,55.51707765,65.459065802296,47.22138579999999,39.7114196,1091544.0,47974.0
Мирный,Сургут,1.6333333333333333,avia,62.541077,113.97858400000001,61.254031999999995,73.3964,38922.0,30259.0
Нижнекамск,Иркутск,1.8333333333333333,avia,55.641287899999995,51.8160376,52.289597,104.280586,6751.0,234108.0
Ижевск,Волгоград,2.7666666666666666,avia,56.86655699999999,53.2094166,48.64820995,44.3857637990291,1021244.0,628117.0
Красноярск,Бодайбо,1.9666666666666666,avia,56.0090968,92.8725147,57.8500317,114.20382839999999,15331.0,2180.0
Владивосток,Анапа,1.5333333333333334,avia,43.1150678,131.8855768,44.894271999999994,37.316887,58983.0,592069.0
Назрань,Кемерово,2.3333333333333335,avia,43.232077399999994,44.7540128,55.355125,86.087234,532884.0,93357.0
Якутск,Геленджик,2.3333333333333335,avia,62.027287,129.732086,44.56094470000001,38.076683200000005,54813.0,269486.0
Томск,Уфа,2.066666666666667,avia,58.6124279,82.04753149999999,54.726288000000004,55.947727,1062300.0,25614.0
Красноярск,Надым,2.3333333333333335,avia,56.0090968,92.8725147,65.5336238,72.51139549999999,46550.0,2180.0
Нижневартовск,Благовещенск,1.7666666666666666,avia,60.9339411,76.58142740000001,50.290527000000004,127.527161,214397.0,251860.0
Омск,Пермь,2.4,avia,54.991375,73.37152900000001,58.014965000000004,56.246722999999996,1000679.0,25905.0
Симферополь (Крым),Саранск,2.5,avia,44.9521457,34.1024858,54.18671,45.18383,318841.0,332317.0
Абакан,Якутск,2.066666666666667,avia,53.7209024,91.442435,62.027287,129.732086,269486.0,165183.0
Киров,Саратов,2.8,avia,58.6035257,49.6639029,51.530018,46.034683,12846.0,31888.0
Екатеринбург,Петрозаводск,2.3333333333333335,avia,56.839104000000006,60.60825,61.790039,34.390007000000004,263540.0,1377738.0
Магнитогорск,Белгород,2.533333333333333,avia,53.4242184,58.983136,50.5955595,36.5873394,39026.0,408401.0
Пермь,Омск,1.8333333333333333,avia,58.014965000000004,56.246722999999996,54.991375,73.37152900000001,25905.0,1000679.0
Ставрополь,Норильск,2.1333333333333333,avia,45.0433245,41.9690934,69.34983940000001,88.200517,175301.0,32736.0
Тюмень,Абакан,1.7,avia,57.15353399999999,65.542274,53.7209024,91.442435,165183.0,581758.0
