,n_iter,name,suspected,infected,recovered
0,0,Рыбное,18378.0,1.0,0.0
1,0,Давлеканово,24040.0,1.0,0.0
2,0,Артышта,263.0,1.0,0.0
3,0,Ельня,10095.0,1.0,0.0
4,0,Чемал,4011.0,1.0,0.0
5,0,Николаевск,15081.0,1.0,0.0
6,0,Бугуруслан,52249.0,1.0,0.0
7,0,Новочеркасск,169039.0,1.0,0.0
8,0,Озёрск,79300.0,1.0,0.0
9,0,Пыть-Ях,41453.0,1.0,0.0
10,0,Карасук,28929.0,1.0,0.0
11,0,Мглин,7916.0,1.0,0.0
12,0,Ртищево,41295.0,1.0,0.0
13,0,Красноуфимск,39765.0,1.0,0.0
14,0,Тихорецк,61825.0,1.0,0.0
15,0,Салми,2187.0,1.0,0.0
16,0,Сретенск,6850.0,1.0,0.0
17,0,Алзамай,6751.0,1.0,0.0
18,0,Новохопёрск,6108.0,1.0,0.0
19,0,Медвежьегорск,15536.0,1.0,0.0
20,0,Малоярославец,30401.0,1.0,0.0
21,0,Тейково,34993.0,1.0,0.0
22,0,Кстово,66641.0,1.0,0.0
23,0,Нягань,54903.0,1.0,0.0
24,0,Надым,46550.0,1.0,0.0
25,0,Охотск,3298.0,1.0,0.0
26,0,Красный Чикой,7063.0,1.0,0.0
27,0,Лысково,21882.0,1.0,0.0
28,0,Гусь-Хрустальный,60773.0,1.0,0.0
29,0,Чара,3973.0,1.0,0.0
30,0,Шацк,6562.0,1.0,0.0
31,0,Рузаевка,47529.0,1.0,0.0
32,0,Верея,5368.0,1.0,0.0
33,0,Камышлов,26875.0,1.0,0.0
34,0,Череповец,312311.0,1.0,0.0
35,0,Сергиев Посад,110878.0,1.0,0.0
36,0,Сясьстрой,13747.0,1.0,0.0
37,0,Талдом,13819.0,1.0,0.0
38,0,Курганинск,47974.0,1.0,0.0
39,0,Гурьевск,12433.0,1.0,0.0
40,0,Кугеси,12809.0,1.0,0.0
41,0,Сосенский,12394.0,1.0,0.0
42,0,Тобольск,99698.0,1.0,0.0
43,0,Тосно,39127.0,1.0,0.0
44,0,Сковородино,9561.0,1.0,0.0
45,0,Южноуральск,37890.0,1.0,0.0
46,0,Далматово,13913.0,1.0,0.0
47,0,Железногорск-Илимский,26134.0,1.0,0.0
48,0,Новый Уренгой,104144.0,1.0,0.0
49,0,Тикси,8440.0,1.0,0.0
50,0,Каменногорск,6761.0,1.0,0.0
51,0,Нея,9827.0,1.0,0.0
52,0,Бийск,203826.0,1.0,0.0
53,0,Вышний Волочёк,46211.0,1.0,0.0
54,0,Славянка,65000.0,1.0,0.0
55,0,Шимановск,19815.0,1.0,0.0
56,0,Можайск,31388.0,1.0,0.0
57,0,Вихоревка,22528.0,1.0,0.0
58,0,Уфа,1062300.0,1.0,0.0
59,0,Улан-Удэ,431922.0,1.0,0.0
60,0,Бабушкин,4542.0,1.0,0.0
61,0,Зубцов,6937.0,1.0,0.0
62,0,Саяногорск,49889.0,1.0,0.0
63,0,Набережные Челны,513242.0,1.0,0.0
64,0,Арзамас,106367.0,1.0,0.0
65,0,Верхневилюйск,21002.0,1.0,0.0
66,0,Тулун,44603.0,1.0,0.0
67,0,Нижнеангарск,4520.0,1.0,0.0
