transport,departure,arrival,passengers
avia,Москва,Нижневартовск,556
avia,Сочи,Краснодар,575
avia,Курган,Москва,572
avia,Махачкала,Сургут,555
avia,Москва,Нальчик,516
avia,Пермь,Санкт-Петербург,548
avia,Южно-Сахалинск,Хабаровск,532
avia,Краснодар,Сочи,514
avia,Нальчик,Москва,516
avia,Санкт-Петербург,Пермь,520
avia,Новосибирск,Сургут,539
avia,Новый Уренгой,Новосибирск,497
avia,Москва,Саранск,521
avia,Сургут,Уфа,523
avia,Москва,Нижний Новгород,474
avia,Петропавловск-Камчатский,Москва,493
avia,Симферополь (Крым),Ростов-на-Дону,468
avia,Казань,Сочи,473
avia,Новосибирск,Иркутск,481
avia,Иркутск,Бодайбо,463
avia,Нижний Новгород,Москва,459
avia,Москва,Ухта,457
avia,Бодайбо,Иркутск,461
avia,Сургут,Самара,481
avia,Мирный,Новосибирск,464
avia,Новосибирск,Краснодар,462
avia,Краснодар,Сургут,457
avia,Саранск,Москва,458
avia,Москва,Ноябрьск,430
avia,Москва,Петрозаводск,450
avia,Петрозаводск,Москва,444
avia,Уфа,Краснодар,446
avia,Ростов-на-Дону,Симферополь (Крым),440
avia,Красноярск,Санкт-Петербург,428
avia,Краснодар,Новосибирск,444
avia,Москва,Ханты-Мансийск,430
avia,Сочи,Тюмень,407
avia,Санкт-Петербург,Нижнекамск,422
avia,Ухта,Москва,413
avia,Краснодар,Самара,416
avia,Киров,Санкт-Петербург,398
avia,Краснодар,Уфа,384
avia,Новый Уренгой,Уфа,405
avia,Тюмень,Сочи,405
avia,Санкт-Петербург,Владикавказ,403
avia,Екатеринбург,Симферополь (Крым),394
avia,Белоярский,Тюмень,392
avia,Уфа,Новый Уренгой,405
avia,Санкт-Петербург,Нижний Новгород,380
avia,Самара,Краснодар,383
avia,Москва,Чита,390
avia,Тюмень,Белоярский,401
avia,Москва,Геленджик,392
avia,Уфа,Сургут,375
avia,Сочи,Самара,367
avia,Томск,Стрежевой,389
avia,Екатеринбург,Салехард,392
avia,Краснодар,Тюмень,391
avia,Тюмень,Минеральные Воды,365
avia,Екатеринбург,Самара,370
avia,Иркутск,Новосибирск,363
avia,Владикавказ,Санкт-Петербург,379
avia,Красноярск,Краснодар,363
avia,Ростов-на-Дону,Сочи,346
avia,Нижнекамск,Санкт-Петербург,370
avia,Казань,Краснодар,367
avia,Тюмень,Надым,347
avia,Минеральные Воды,Екатеринбург,353
avia,Геленджик,Москва,365
avia,Сургут,Омск,350
avia,Санкт-Петербург,Киров,335
avia,Ростов-на-Дону,Махачкала,362
avia,Санкт-Петербург,Ставрополь,352
avia,Ставрополь,Санкт-Петербург,336
avia,Краснодар,Казань,354
avia,Махачкала,Ростов-на-Дону,334
avia,Новосибирск,Новый Уренгой,346
avia,Иркутск,Усть-Кут,324
avia,Новосибирск,Мирный,343
avia,Симферополь (Крым),Самара,349
avia,Сочи,Ростов-на-Дону,332
avia,Самара,Екатеринбург,329
avia,Новый Уренгой,Санкт-Петербург,336
avia,Самара,Сочи,336
avia,Надым,Тюмень,332
avia,Нижний Новгород,Санкт-Петербург,333
avia,Элиста,Москва,328
avia,Тюмень,Краснодар,321
avia,Минеральные Воды,Тюмень,321
avia,Салехард,Екатеринбург,331
avia,Москва,Новокузнецк,321
avia,Мурманск,Краснодар,312
avia,Сургут,Тюмень,305
avia,Норильск,Москва,308
avia,Санкт-Петербург,Апатиты,316
avia,Усть-Кут,Иркутск,331
avia,Новокузнецк,Москва,324
avia,Ростов-на-Дону,Грозный,312
avia,Санкт-Петербург,Ижевск,310
avia,Красноярск,Норильск,294
avia,Москва,Элиста,315
avia,Южно-Сахалинск,Владивосток,300
avia,Краснодар,Мурманск,295
avia,Владивосток,Хабаровск,311
avia,Самара,Симферополь (Крым),307
avia,Краснодар,Нижний Новгород,302
avia,Нерюнгри,Иркутск,299
avia,Екатеринбург,Минеральные Воды,287
avia,Уфа,Ростов-на-Дону,307
avia,Ростов-на-Дону,Нижний Новгород,307
avia,Ухта,Санкт-Петербург,298
avia,Москва,Мирный,293
avia,Москва,Апатиты,307
avia,Апатиты,Санкт-Петербург,280
avia,Стрежевой,Томск,300
avia,Краснодар,Махачкала,278
avia,Симферополь (Крым),Екатеринбург,298
avia,Новый Уренгой,Салехард,284
avia,Самара,Сургут,283
avia,Сочи,Сургут,297
avia,Апатиты,Москва,298
avia,Санкт-Петербург,Новый Уренгой,274
avia,Чита,Москва,289
avia,Сургут,Минеральные Воды,281
avia,Санкт-Петербург,Ухта,275
avia,Ростов-на-Дону,Новосибирск,277
avia,Мирный,Москва,275
avia,Якутск,Ленск,284
avia,Красноярск,Иркутск,283
avia,Краснодар,Челябинск,259
avia,Сургут,Сочи,256
avia,Салехард,Новый Уренгой,255
avia,Эвенск,Магадан,256
avia,Омск,Краснодар,264
avia,Минеральные Воды,Сургут,267
avia,Иркутск,Владивосток,266
avia,Нижний Новгород,Краснодар,266
avia,Санкт-Петербург,Астрахань,262
avia,Грозный,Ростов-на-Дону,274
avia,Тюмень,Нижневартовск,266
avia,Нижний Новгород,Ростов-на-Дону,267
avia,Владивосток,Южно-Сахалинск,272
avia,Иркутск,Красноярск,252
avia,Москва,Псков,263
avia,Тюмень,Сургут,252
avia,Новый Уренгой,Екатеринбург,252
avia,Омск,Сургут,269
avia,Санкт-Петербург,Иркутск,264
avia,Новосибирск,Ростов-на-Дону,244
avia,Ростов-на-Дону,Самара,248
avia,Нерюнгри,Красноярск,265
avia,Санкт-Петербург,Салехард,270
avia,Нижневартовск,Тюмень,248
avia,Нерюнгри,Новосибирск,264
avia,Казань,Ростов-на-Дону,251
avia,Самара,Ростов-на-Дону,259
avia,Сочи,Симферополь (Крым),243
avia,Краснодар,Омск,247
avia,Белоярский,Нягань,242
avia,Норильск,Красноярск,251
avia,Красноярск,Новосибирск,247
avia,Мурманск,Архангельск,245
avia,Екатеринбург,Ростов-на-Дону,240
avia,Ростов-на-Дону,Екатеринбург,250
avia,Абакан,Москва,252
avia,Иркутск,Нерюнгри,234
avia,Санкт-Петербург,Барнаул,234
avia,Хабаровск,Владивосток,240
avia,Пермь,Сочи,249
avia,Астрахань,Санкт-Петербург,253
avia,Калуга,Краснодар,234
avia,Анадырь,Москва,246
avia,Краснодар,Пермь,247
avia,Псков,Москва,231
avia,Москва,Норильск,245
avia,Калуга,Санкт-Петербург,241
avia,Хабаровск,Николаевск-на-Амуре,236
avia,Красноярск,Сочи,232
avia,Санкт-Петербург,Чебоксары,237
avia,Краснодар,Новый Уренгой,238
avia,Красноярск,Екатеринбург,244
avia,Челябинск,Краснодар,239
avia,Пермь,Краснодар,231
avia,Тюмень,Ростов-на-Дону,229
avia,Екатеринбург,Сургут,234
avia,Санкт-Петербург,Ноябрьск,227
avia,Мирный,Иркутск,231
avia,Екатеринбург,Новосибирск,217
avia,Санкт-Петербург,Калуга,230
avia,Новосибирск,Тюмень,218
avia,Краснодар,Красноярск,227
avia,Москва,Усинск,237
avia,Сургут,Красноярск,219
avia,Николаевск-на-Амуре,Хабаровск,223
avia,Улан-Удэ,Нижнеангарск,228
