Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
266;Пудож;Karelia;Pudozhskiy;"[ 0.          0.          0.          0.24552089  0.          0.79455894
  0.          0.55533376  0.          0.          0.          0.
  0.          0.06610339  0.09322467  0.16270102  0.79998428 -0.
 -0.         -0.          0.7261986  -0.          0.07914626  0.46517614
  0.30364471  0.59149976  1.65463162  1.07688446]";[0.25551626708849656, 0.0133043796718392, 0.03524293406780293, 0.22367339604736544, 0.15208291942826235, 0.5538787106035987, 0.07140334936861552, 0.29550220670280586, 0.021667534910702686, 0.47710012163685406, 0.1475881926256239, 0.007108797571434426, 0.0, 0.04083632042446492, 0.052287559894638784, 0.11693814134700797, 0.42166240458848614, 0.14901498282222164, 0.15717111605368103, 0.13494784874462307, 0.17228456533758182, 0.07672675931995634, 0.015431465496738706, 0.19143899940929313, 0.36762127480322454, 0.22110465524364925, 0.5366034254755159, 0.2643268621807949]
267;Остров;Pskov;;"[ 0.40209468  0.          0.          0.30264061  0.19551032  0.46726479
  0.29480102  0.          0.          0.62317237  0.10329218  0.06517011
  0.         -0.         -0.          0.44739834  0.38258319  0.28889501
 -0.         -0.         -0.         -0.         -0.         -0.
  0.71141921  0.52657692  0.1322798  -0.        ]";[0.367303909009541, 0.018280402384952755, 0.028882169503131033, 0.22480694997639147, 0.15783065157248138, 0.4873365946976654, 0.12870562268831878, 0.20334025822861876, 0.039820033875940124, 0.5804494442649294, 0.12098382610052012, 0.026366286700388212, 0.0, 0.02353779241182956, 0.10991037673855324, 0.16347989543648148, 0.35209441811668557, 0.2715559132740261, 0.20436640103435105, 0.10709413952838952, 0.11544602404928805, 0.11635983777090543, 0.0740244613617588, 0.0903267830850444, 0.548598042098646, 0.20578307969129878, 0.28250193011886615, 0.134486738185366]
268;Короча;Belgorod;Korochanskiy;"[ 0.          0.          0.          0.39964385  0.          0.7226887
  0.          0.56392005  0.          0.          0.          0.
  0.          0.05042953  0.16053897  0.24341348  0.8900459  -0.
 -0.         -0.          0.5344859  -0.         -0.          0.4121991
  0.60976159  0.42980346  1.27325798  0.63108997]";[0.17693762610945818, 0.049379478026745804, 0.054481488229929646, 0.3738438276964226, 0.10732360001018278, 0.5844411140805083, 0.1242389282813358, 0.4218933582893879, 0.04843691152574934, 0.19446819987285296, 0.0775415746014061, 0.03336127664901261, 0.016151799810715666, 0.05356597041695028, 0.14310913504241324, 0.22090738196640622, 0.64241260252838, 0.05794134076088185, 0.19906865230294435, 0.13212502530468284, 0.3073594150545153, 0.07986877285951541, 0.011668941260685881, 0.2596488142683677, 0.39274204145093483, 0.3070888088567044, 0.8674710595713087, 0.3977809456515576]
269;Новохопёрск;Voronezh;Novokhoperskiy;"[ 0.35382595  0.          0.09060044  0.30823843  0.18120089  0.5460546
  0.          0.4153878   0.09060044  0.49674215  0.11432503  0.
  0.          0.01984419 -0.          0.09689968  0.61277299  0.0586092
 -0.         -0.         -0.         -0.         -0.         -0.
  0.47267227  0.01653255  0.45485225 -0.        ]";[0.30916973181805524, 0.07494461897093013, 0.1170614337452034, 0.34249589952481546, 0.1776257242792392, 0.4839372746702118, 0.1887556159784518, 0.33104103396841367, 0.09835729334285004, 0.37465551908818334, 0.13870022309085167, 0.0698384840381225, 0.04210594648369923, 0.051899343913841746, 0.19604408946569254, 0.19989190797026282, 0.43818687120346844, 0.06030271304437021, 0.3296432833447667, 0.17818745598671326, 0.1257604840493616, 0.1129901589331062, 0.09910235603404359, 0.20193531377497778, 0.3267768740922593, 0.24529642452903053, 0.4547147495000426, 0.3225260264539269]
270;Краснослободск;Volgograd;Sredneakhtubinskiy;"[ 0.          0.          0.          0.32260082  0.          0.751333
  0.          0.57569735  0.          0.          0.          0.
  0.          0.09281584  0.04001123  0.18976571  0.88030705 -0.
 -0.         -0.          0.52349467 -0.         -0.          0.3612551
  0.66274392  0.34887403  1.20251303  0.42059083]";[0.21889447883619711, 0.032754370832947924, 0.06466789873458063, 0.3294735274846742, 0.11349199536306198, 0.5729620020560896, 0.09834152394111129, 0.40605893126641157, 0.0701022867279781, 0.3159565746749044, 0.08608590985070344, 0.027334241122024563, 0.01030221222460236, 0.07170244602257586, 0.12233854638280234, 0.1619541964343184, 0.550510696649739, 0.08956684039354473, 0.17220746336835743, 0.15325316309238787, 0.22612610637510788, 0.08305588704101584, 0.0574816045294478, 0.25670266919677925, 0.4211012360382983, 0.2374533014809907, 0.6178383684326736, 0.350650138767292]
271;Ухта;Komi;Ukhta;"[ 0.37768657  0.19227004  0.2032449   0.3139734   0.29769043  0.37007682
  0.28015291  0.2565815   0.16035033  0.42041586  0.29309844  0.12774145
  0.07690802  0.02323493  0.10107652 -0.         -0.          0.17475174
  1.06981324  0.6950718  -0.          0.45493102 -0.         -0.
 -0.         -0.         -0.         -0.        ]";[0.3550156410823592, 0.12492862473656212, 0.14492924209994193, 0.27462653959712885, 0.21167794638786833, 0.4326897673608756, 0.2005725082187206, 0.2509640617224174, 0.12306974115161713, 0.4489742534268488, 0.20951541642465418, 0.09007591068750981, 0.03670430659089551, 0.0722980660551435, 0.053328831109203785, 0.07531604596823961, 0.23092478516413809, 0.16076545132320683, 0.28310369430729604, 0.11416531287817894, 0.059947320696853074, 0.13995942044895868, 0.005417484037123392, 0.047624826126104476, 0.2434626752376694, 0.17090346002303403, 0.32202265091176957, 0.2709714713446307]
272;Колпашево;Tomsk;;"[ 0.          0.          0.          0.50170124  0.          0.72794748
  0.          0.46732038  0.          0.          0.          0.
  0.         -0.          0.20180169  0.4221662   0.98428182 -0.
 -0.         -0.          0.49804098 -0.         -0.          0.48294408
  0.48802145  0.52961633  1.42292394  1.11298143]";[0.3763704269747076, 0.0, 0.0, 0.12542530966552404, 0.0, 0.5458478357723644, 0.0, 0.11683009452375959, 0.0, 0.5369720550037336, 0.0, 0.0, 0.0, 0.0, 0.05045042368861687, 0.29130873623712517, 0.628055133385655, 0.606232037738232, 0.0, 0.19814251913072634, 0.12451024465424997, 0.0, 0.0, 0.12073602011783863, 0.7093483831306094, 0.3543090296211884, 0.9198496189423878, 0.9326687697097785]
273;Семикаракорск;Rostov;;"[ 0.          0.          0.          0.3907998   0.          0.73857972
  0.          0.54934098  0.          0.          0.          0.
  0.          0.04430446  0.1078334   0.26201988  0.91676936 -0.
 -0.         -0.          0.57186603 -0.         -0.          0.47418684
  0.33326704  0.47275871  1.40409965  0.85596965]";[0.29978878836020695, 0.08480802820292677, 0.1180380696503928, 0.3032678035112991, 0.18767764837222917, 0.4903363605982124, 0.17281539776363344, 0.33360867746543804, 0.11189161199910827, 0.40394861477822613, 0.14853802509082586, 0.06817410118393936, 0.038196642366170895, 0.06899320571232019, 0.12882684590657595, 0.13505904053725193, 0.3892396825459323, 0.12029958828564472, 0.2724459526433596, 0.15116618800958154, 0.11295345504025697, 0.10299557383995714, 0.07919129899621773, 0.1605180620327462, 0.35637926847321005, 0.17120257839226388, 0.3933896406863353, 0.2547163336662005]
274;Сыктывкар;Komi;Syktyvkar;"[ 0.37372789  0.16056777  0.20382466  0.29535378  0.30900471  0.3874519
  0.25113169  0.2615267   0.16056777  0.43039556  0.32143683  0.11982026
  0.          0.03153417  0.26466517 -0.         -0.         -0.
  0.94942974  0.02601298  0.08473506  0.38194918  0.01248868 -0.
 -0.          0.21034923 -0.         -0.        ]";[0.3550156410823592, 0.12492862473656212, 0.14492924209994193, 0.27462653959712885, 0.21167794638786833, 0.4326897673608756, 0.2005725082187206, 0.2509640617224174, 0.12306974115161713, 0.4489742534268488, 0.20951541642465418, 0.09007591068750981, 0.03670430659089551, 0.0722980660551435, 0.053328831109203785, 0.07531604596823961, 0.23092478516413809, 0.16076545132320683, 0.28310369430729604, 0.11416531287817894, 0.059947320696853074, 0.13995942044895868, 0.005417484037123392, 0.047624826126104476, 0.2434626752376694, 0.17090346002303403, 0.32202265091176957, 0.2709714713446307]
275;Лесной;Sverdlovsk;Nizhniy Tura;"[ 0.          0.          0.          0.42291866  0.          0.7159284
  0.          0.55550547  0.          0.          0.          0.
  0.          0.05033186  0.12577422  0.26896633  0.92324611 -0.
 -0.         -0.          0.53900471 -0.         -0.          0.41931252
  0.41298074  0.47906389  1.31204192  0.69586647]";[0.20365504400919565, 0.033073515046209645, 0.057725382444961865, 0.3492779392040689, 0.10056816213549588, 0.5826936004519707, 0.09689571705956014, 0.39843741911008157, 0.04940907835090125, 0.25631109442857763, 0.0777091168182353, 0.02360256139752804, 0.014419525608990154, 0.054698320007110196, 0.14265307058444723, 0.2109672129439544, 0.6213688750510342, 0.1251608445638378, 0.14800309285261334, 0.16564170663397507, 0.2923155942038698, 0.07880083210854658, 0.05531545029971831, 0.28598423375015414, 0.40802236159229505, 0.3566833222000964, 0.7827865426074834, 0.48737310742756945]
276;Карпинск;Sverdlovsk;;"[ 0.          0.          0.          0.42291866  0.          0.7159284
  0.          0.55550547  0.          0.          0.          0.
  0.          0.05033186  0.12577422  0.26896633  0.92324611 -0.
 -0.         -0.          0.53900471 -0.         -0.          0.41931252
  0.41298074  0.47906389  1.31204192  0.69586647]";[0.20365504400919565, 0.033073515046209645, 0.057725382444961865, 0.3492779392040689, 0.10056816213549588, 0.5826936004519707, 0.09689571705956014, 0.39843741911008157, 0.04940907835090125, 0.25631109442857763, 0.0777091168182353, 0.02360256139752804, 0.014419525608990154, 0.054698320007110196, 0.14265307058444723, 0.2109672129439544, 0.6213688750510342, 0.1251608445638378, 0.14800309285261334, 0.16564170663397507, 0.2923155942038698, 0.07880083210854658, 0.05531545029971831, 0.28598423375015414, 0.40802236159229505, 0.3566833222000964, 0.7827865426074834, 0.48737310742756945]
277;Первомайск;Nizhny Novgorod;;"[ 0.32246061  0.          0.          0.          0.          0.57654299
  0.          0.          0.          0.75074452  0.          0.
  0.         -0.         -0.          0.30649808  0.661201    0.67869267
 -0.         -0.         -0.         -0.         -0.         -0.
  1.20809632  0.53777025  0.41766597  0.13163249]";[0.3559329502772034, 0.05829226337548376, 0.09957660551803206, 0.2609310749653832, 0.14086620689396206, 0.48326343450228476, 0.1762462358338984, 0.2025148182126085, 0.07288448903329664, 0.5169110306027153, 0.10829510027383768, 0.046888133177885066, 0.025399277756983325, 0.05471861908446607, 0.11360949845392843, 0.2578955693743482, 0.47585114912804194, 0.24105333165960657, 0.15697256476258828, 0.08278826469362913, 0.06870613487804024, 0.05938333747155983, 0.08434353736602875, 0.11124265434988931, 0.5795130825351373, 0.3254875165215249, 0.36056291763785214, 0.23095973122883692]
278;Псков;Pskov;Pskov;"[ 0.36409029  0.14607751  0.17052486  0.29457283  0.28432447  0.42199182
  0.23636928  0.29457283  0.1652034   0.46448607  0.28339463  0.07303875
  0.          0.12541493  1.00246032 -0.         -0.         -0.
  1.94382316  0.93451658  0.86277485  0.88365717  0.8769218   0.78029259
 -0.         -0.         -0.          0.8120673 ]";[0.367303909009541, 0.018280402384952755, 0.028882169503131033, 0.22480694997639147, 0.15783065157248138, 0.4873365946976654, 0.12870562268831878, 0.20334025822861876, 0.039820033875940124, 0.5804494442649294, 0.12098382610052012, 0.026366286700388212, 0.0, 0.02353779241182956, 0.10991037673855324, 0.16347989543648148, 0.35209441811668557, 0.2715559132740261, 0.20436640103435105, 0.10709413952838952, 0.11544602404928805, 0.11635983777090543, 0.0740244613617588, 0.0903267830850444, 0.548598042098646, 0.20578307969129878, 0.28250193011886615, 0.134486738185366]
279;Москва;Moscow City;Podolsky;"[ 0.33654059  0.15489819  0.18008575  0.28217626  0.30717333  0.41628257
  0.17446905  0.33465871  0.19562001  0.44181188  0.32299275  0.05311199
  0.         -0.          5.98583296 -0.         -0.         -0.
 10.15233796  8.56690392  2.40188319  5.61649016  6.3252121   3.92491984
 -0.         -0.         -0.         10.77334228]";[0.3258729054987539, 0.03872454825361472, 0.04502143719730485, 0.18138883641447912, 0.20390201895173982, 0.5431002874037427, 0.09751104905103541, 0.23215280364766533, 0.04890500238209692, 0.5378249648258677, 0.12670799767039037, 0.013277997068202901, 0.0, 0.006989867611973263, 1.6368233346437315, 0.07640390544640015, 0.13447249711672274, 0.14382407747760712, 2.5380844901692536, 2.1730267452605423, 0.8130174348011484, 1.5110469710431076, 1.7134261929931387, 1.1389836681517203, 0.06969442538831533, 0.28836349920740195, 0.277561833323138, 2.818300226345283]
280;Вязники;Vladimir;;"[ 0.4069257   0.07754358  0.12646814  0.33612953  0.24890185  0.42832896
  0.2913064   0.27889147  0.          0.49575946  0.20782796  0.04892455
  0.          0.10642359 -0.          0.10227581  0.35542072  0.11267352
 -0.         -0.         -0.         -0.         -0.         -0.
  0.37632645  0.08767654  0.19567212 -0.        ]";[0.2547232586348796, 0.040016026273349624, 0.05911490737311215, 0.28657873029513375, 0.13661771905503714, 0.5620657767242108, 0.10435412859615581, 0.3389654963409083, 0.050609818555169404, 0.3804957802538001, 0.08635383295636345, 0.02577389905175277, 0.00928036928926479, 0.05749847513524738, 0.10012738095082019, 0.157636133744702, 0.4582918757365229, 0.14192460513508962, 0.24475403918060282, 0.19918279789478913, 0.19969644282589422, 0.13885934046260479, 0.026896371238908926, 0.1912514215742715, 0.36167963406967113, 0.2909012306583302, 0.5403159499990244, 0.21983010738403277]
281;Жиздра;Kaluga;;"[ 0.30324479  0.          0.          0.0796471   0.          0.56279353
  0.          0.2947293   0.          0.70575989  0.          0.
  0.          0.16907335 -0.          0.09970968  0.60590425  0.35116597
 -0.         -0.         -0.         -0.         -0.         -0.
  0.70155736  0.19495713  0.36657982 -0.        ]";[0.2169262944744658, 0.006655962058382855, 0.00804747049952734, 0.26132969087203817, 0.07396175469940279, 0.6034578529327672, 0.07812915013902477, 0.34521639376710156, 0.009086801862631652, 0.34967591778204227, 0.06865027038448447, 0.004543400931315826, 0.0, 0.0523909455721115, 0.08209592025551445, 0.17492025065499767, 0.5856483925237238, 0.19225261567983223, 0.1517410612495889, 0.14409760303037322, 0.28672474475299037, 0.06750062062932168, 0.01185861770795651, 0.2045493968221956, 0.542230759331453, 0.3894736373266945, 0.7566241630297109, 0.25592680529243966]
282;Калевала;Karelia;Kaleval'skiy;"[ 0.          0.          0.          0.24552089  0.          0.79455894
  0.          0.55533376  0.          0.          0.          0.
  0.          0.06610339  0.09322467  0.16270102  0.79998428 -0.
 -0.         -0.          0.7261986  -0.          0.07914626  0.46517614
  0.30364471  0.59149976  1.65463162  1.07688446]";[0.25551626708849656, 0.0133043796718392, 0.03524293406780293, 0.22367339604736544, 0.15208291942826235, 0.5538787106035987, 0.07140334936861552, 0.29550220670280586, 0.021667534910702686, 0.47710012163685406, 0.1475881926256239, 0.007108797571434426, 0.0, 0.04083632042446492, 0.052287559894638784, 0.11693814134700797, 0.42166240458848614, 0.14901498282222164, 0.15717111605368103, 0.13494784874462307, 0.17228456533758182, 0.07672675931995634, 0.015431465496738706, 0.19143899940929313, 0.36762127480322454, 0.22110465524364925, 0.5366034254755159, 0.2643268621807949]
283;Волгореченск;Kostroma;Volgorechensk;"[ 0.          0.          0.          0.44458597  0.          0.7177468
  0.          0.53589444  0.          0.          0.          0.
  0.          0.0106465   0.19973846  0.2989421   0.90871966 -0.
 -0.         -0.          0.59179892 -0.         -0.          0.48003421
  0.39833694  0.55495296  1.4817803   1.00263114]";[0.30379134533966157, 0.049850522811982996, 0.07114601591037172, 0.36004863189061775, 0.1771831581050211, 0.5050654701776208, 0.16870808415987107, 0.3083457975573025, 0.061827728478184664, 0.38897330885197445, 0.17227930729665303, 0.039194895760134865, 0.01768193894824604, 0.04002716092111835, 0.06745823213435037, 0.14802967572646394, 0.45086554779275284, 0.16467511262099432, 0.11432915931158655, 0.11624887318389644, 0.14625788741777962, 0.07739094319824977, 0.01400164576593088, 0.1184549478317234, 0.43627483791523164, 0.22230693798360615, 0.4886918313736611, 0.2823345234417748]
284;Хвалынск;Saratov;Khvalynskiy;"[ 0.46923572  0.          0.05699021  0.36331484  0.18065469  0.42417491
  0.33799397  0.29688784  0.          0.47579577  0.          0.05699021
  0.          0.08698209 -0.          0.36536628  0.38913095 -0.
 -0.         -0.          0.08402108  0.07259937  0.02674222  0.28113342
 -0.          0.42359269  0.43244873 -0.        ]";[0.28601655908128015, 0.050570042600381296, 0.09369719280630498, 0.36175154212041655, 0.17125633399062568, 0.5109599555038709, 0.1849944876209482, 0.36813402948288243, 0.07470226277230389, 0.3475836033363775, 0.12063941339282146, 0.06070970601912497, 0.019595271732012087, 0.06540604923575108, 0.13333927888742925, 0.18513500657127277, 0.4693623315272672, 0.07574856951562554, 0.15472477727370282, 0.15357278572346791, 0.1735463103465117, 0.08725962482004732, 0.07646068080097349, 0.24488633752761854, 0.23213652801559806, 0.21472095871255936, 0.5709948598379979, 0.35470725278971754]
285;Рыбное;Ryazan;Rybnovskiy;"[ 0.3193974   0.          0.          0.          0.          0.57214194
  0.          0.          0.          0.74361284  0.13296184  0.
  0.          0.01043023 -0.          0.11129082  0.32862383  0.31783168
 -0.         -0.         -0.         -0.         -0.         -0.
  0.47969575  0.21220769  0.01081772 -0.        ]";[0.32357353336181477, 0.024253877685774392, 0.04558508593721424, 0.20836803817949842, 0.09257877808582926, 0.530563882847121, 0.09313729957643735, 0.2252382943217032, 0.020697898755591165, 0.5647219654671679, 0.09393171107489423, 0.02442056591843649, 0.020896965317732264, 0.03667303477324434, 0.10592769327917168, 0.19462001159012818, 0.5279553272907417, 0.27286417444446603, 0.13440145823015995, 0.08781420649121173, 0.0825656774587335, 0.0580816839371093, 0.08600781572869991, 0.11525230515133104, 0.5888310006532983, 0.23032546597067194, 0.38599715127294026, 0.20173117750273195]
286;Иловля;Volgograd;;"[ 0.          0.          0.          0.39423577  0.          0.72517436
  0.          0.56453548  0.          0.          0.          0.
  0.          0.0558127   0.13809492  0.2447989   0.89139372 -0.
 -0.         -0.          0.50216416 -0.         -0.          0.37089954
  0.64580571  0.41629951  1.20074406  0.51518679]";[0.21889447883619711, 0.032754370832947924, 0.06466789873458063, 0.3294735274846742, 0.11349199536306198, 0.5729620020560896, 0.09834152394111129, 0.40605893126641157, 0.0701022867279781, 0.3159565746749044, 0.08608590985070344, 0.027334241122024563, 0.01030221222460236, 0.07170244602257586, 0.12233854638280234, 0.1619541964343184, 0.550510696649739, 0.08956684039354473, 0.17220746336835743, 0.15325316309238787, 0.22612610637510788, 0.08305588704101584, 0.0574816045294478, 0.25670266919677925, 0.4211012360382983, 0.2374533014809907, 0.6178383684326736, 0.350650138767292]
287;Кавалерово;Primorsky;Kavalerovskiy;"[ 0.          0.          0.          0.43031142  0.          0.73108619
  0.          0.52947622  0.          0.          0.          0.
  0.         -0.          0.18285854  0.31014921  0.91308344 -0.
 -0.         -0.          0.59763562 -0.          0.0395163   0.43621486
  0.31426212  0.58722957  1.49010059  0.99035493]";[0.2125855793633309, 0.03983478723266263, 0.08665410518852482, 0.37035328271591544, 0.1340376522965602, 0.5734773031544875, 0.10196792048422634, 0.40857084065883953, 0.04664641544813099, 0.26697159039925383, 0.09922252981735734, 0.040646133368977135, 0.0, 0.0318693870585297, 0.11719589455859758, 0.1734030899989742, 0.5063677025197187, 0.07604748999058959, 0.2367652106682116, 0.18201698809159148, 0.27707864895703926, 0.1240291396325534, 0.027025955067031458, 0.25066463154896074, 0.2057736695168179, 0.2935604312413226, 0.7233278699304329, 0.4704943856270089]
288;Семёнов;Nizhny Novgorod;;"[ 0.4367157   0.          0.12225061  0.37031305  0.16689805  0.47704992
  0.27428018  0.30710442  0.05265047  0.47901569  0.          0.
  0.          0.0825714  -0.          0.44686335  0.58044145 -0.
 -0.         -0.         -0.         -0.         -0.          0.23885646
  0.27223862  0.33667433  0.37147546 -0.        ]";[0.3559329502772034, 0.05829226337548376, 0.09957660551803206, 0.2609310749653832, 0.14086620689396206, 0.48326343450228476, 0.1762462358338984, 0.2025148182126085, 0.07288448903329664, 0.5169110306027153, 0.10829510027383768, 0.046888133177885066, 0.025399277756983325, 0.05471861908446607, 0.11360949845392843, 0.2578955693743482, 0.47585114912804194, 0.24105333165960657, 0.15697256476258828, 0.08278826469362913, 0.06870613487804024, 0.05938333747155983, 0.08434353736602875, 0.11124265434988931, 0.5795130825351373, 0.3254875165215249, 0.36056291763785214, 0.23095973122883692]
289;Салехард;Yamalo-Nenets;Salekhard;"[ 0.38016348  0.18110275  0.14848058  0.28483543  0.319003    0.38290855
  0.25621356  0.2116154   0.16854809  0.44407194  0.33624584  0.13491214
  0.06181093  0.0601992  -0.         -0.          0.1647757   0.14248943
 -0.         -0.         -0.         -0.         -0.         -0.
  0.84356352  0.23233034  0.16205049 -0.        ]";[0.38750670851301683, 0.15363593067748083, 0.15601034803038022, 0.2472003573122915, 0.28133167771135154, 0.4030615406969971, 0.21774340546892187, 0.19866746789839906, 0.135224856628617, 0.46270388329551176, 0.3260822171221865, 0.08772218971910965, 0.040146480789398926, 0.041516862639163495, 0.07587794540383735, 0.012907010552191976, 0.19051682040376805, 0.26493522570581046, 0.24746098290083193, 0.12496538807192598, 0.0, 0.06499764252014524, 0.03723452709887395, 0.0, 0.7178938499131187, 0.0899720846944973, 0.23751478549476437, 0.16842564883378272]
290;Сергиев Посад;Moscow Oblast;Sergievo-Posadskiy (Zagorskiy);"[ 0.41803785  0.          0.          0.          0.2341516   0.5246282
  0.          0.          0.          0.65050857  0.26836772  0.
  0.         -0.         -0.         -0.         -0.          0.65258416
  0.39907838  0.83466674 -0.         -0.         -0.          0.02992676
  0.71617195 -0.         -0.          0.42046862]";[0.2383443552182965, 0.0, 0.0, 0.12070643740362941, 0.032568545247150485, 0.633365595018984, 0.005978277455155739, 0.172455652435965, 0.0, 0.4892875075336517, 0.046035991277872605, 0.0, 0.0, 0.024230270922658854, 0.018846696765712236, 0.22015335530495567, 0.5828583483410863, 0.3591026544800972, 0.030842506171144674, 0.08481895001388848, 0.16983053382873656, 0.029085598704754773, 0.02525525487954867, 0.11876136651416569, 0.7568308647427313, 0.39420387397592754, 0.5853821268964279, 0.2759323458740476]
291;Вятские Поляны;Kirov;;"[ 3.27034636e-01  1.79741525e-01  2.41043505e-01  3.20233029e-01
  2.91457910e-01  3.80542224e-01  2.69429807e-01  3.04009400e-01
  2.41564325e-01  3.76845076e-01  2.25283083e-01  1.93083078e-01
  1.30064815e-01  1.32131051e-01 -0.00000000e+00  1.17759882e-01
  4.54147501e-02 -0.00000000e+00  5.13382399e-03 -0.00000000e+00
 -0.00000000e+00  1.67484607e-04 -0.00000000e+00 -0.00000000e+00
  6.59149257e-01  2.80183709e-01 -0.00000000e+00 -0.00000000e+00]";[0.2998832387497792, 0.06270563275197885, 0.0961939632508278, 0.33308042904873525, 0.15354127267477807, 0.48894485569213675, 0.16693745044551, 0.28093866505118337, 0.08569284752301821, 0.3954068864489997, 0.12274930094990649, 0.0712102544942962, 0.038709332560791974, 0.0465649668401333, 0.16436980585278158, 0.2254406102112048, 0.42593526381908337, 0.1259961546857124, 0.14396000956057148, 0.0684495507629475, 0.1416234479237354, 0.061970289191968675, 0.09950010422378228, 0.1421417535250612, 0.37434306852868676, 0.33461253061863894, 0.45126758370858, 0.3635838425108777]
292;Волжск;Mari El;Volzhsk;"[ 0.          0.          0.          0.39655638  0.          0.72398536
  0.          0.56443622  0.          0.          0.          0.
  0.          0.05650543  0.13866831  0.24440836  0.89351477 -0.
 -0.         -0.          0.49802253 -0.         -0.          0.35897909
  0.67503613  0.41867568  1.19123205  0.48535978]";[0.13568411286167778, 0.01699664563075556, 0.0477156167699705, 0.35628173860157336, 0.0849832281537778, 0.6401759201445064, 0.08919716424189282, 0.4831476902971255, 0.03399329126151112, 0.15900958733723305, 0.0477156167699705, 0.0, 0.0, 0.07603951982895645, 0.05955984524142346, 0.17160554167234313, 0.6445463653429108, 0.10589773628350686, 0.0, 0.1690564179949057, 0.34050573400388556, 0.04856431197972719, 0.0, 0.2560236479044082, 0.48976501792744626, 0.2558499046931917, 0.9163057136395358, 0.30198353616102125]
293;Родники;Ivanovo;Rodnikovskiy;"[ 0.21637549  0.          0.          0.29344999  0.          0.68649417
  0.          0.52367623  0.          0.34865129  0.          0.
  0.          0.14559888 -0.          0.15144842  0.79436207 -0.
 -0.         -0.          0.21806995 -0.         -0.          0.33080277
  0.39394389  0.22450554  0.75232711 -0.        ]";[0.17389384363842228, 0.008297577651586915, 0.016231520090369465, 0.2852335908628301, 0.04771921168047562, 0.632769791472073, 0.04051965021314475, 0.34794548459312574, 0.017339478627683487, 0.3009196552403174, 0.05855103904430931, 0.01101683891363768, 0.0, 0.036519981220496475, 0.11639564118660442, 0.21956193533820254, 0.6731297601530781, 0.25763576027483515, 0.12744967900097418, 0.1830354863651703, 0.3250564092104823, 0.055447992968633064, 0.025292187021169272, 0.2824955409363661, 0.6430053652516532, 0.4441982180057699, 0.8895350462915959, 0.5055211157744591]
294;Коряжма;Arkhangelsk;;"[ 0.3636287   0.05203106  0.12081239  0.33170008  0.26015532  0.45991318
  0.20812426  0.30858257  0.05203106  0.51292124  0.23856048  0.
  0.         -0.         -0.          0.02918233  0.41973428  0.17771999
 -0.         -0.         -0.         -0.         -0.         -0.
  0.56806534 -0.          0.43179019 -0.        ]";[0.38493147935544414, 0.08166022973430528, 0.1005327629519943, 0.29495696972774255, 0.2443368006538118, 0.4581476100575698, 0.2237299504464724, 0.2219708028394887, 0.07537682512234396, 0.5180415076515433, 0.23346460238568725, 0.03632535604184777, 0.0, 0.021596190984910286, 0.044192006198329914, 0.0944368459711019, 0.3084975685441313, 0.15572456616061578, 0.17321708303189018, 0.03682055865248617, 0.01456060086102093, 0.023180596287154787, 0.003009384643949207, 0.06069968531066501, 0.3749349439827675, 0.0747947528743794, 0.2816498107628522, 0.034885477595342176]
295;Кудымкар;Perm;;"[ 0.44040228  0.          0.          0.          0.          0.53177648
  0.          0.          0.          0.72336686  0.          0.
  0.         -0.         -0.          0.2759219   0.58173147  0.76158618
 -0.          0.06775274 -0.         -0.         -0.         -0.
  0.80335295  0.48859915  0.62261848  0.59779587]";[0.24222971889201414, 0.04490582513598073, 0.052870436918189295, 0.33130042775051516, 0.09935417696207241, 0.5707414683246634, 0.08347821734386944, 0.3441315344307775, 0.032835879290120294, 0.3381738032270636, 0.06864753315856602, 0.02648016435904067, 0.014422484697919125, 0.04640336336066476, 0.1424070225553497, 0.21128276095408105, 0.5864277191021614, 0.1504565695568717, 0.12423453523137078, 0.17629025300317766, 0.22494765197886782, 0.07004356115253665, 0.07305313279084226, 0.27063322825025227, 0.373610762414041, 0.3234778553906206, 0.7200668586913677, 0.5383169484436343]
296;Сокол;Vologda;Sokol'skiy;"[ 0.3583349   0.12366791  0.08441648  0.30211831  0.26866882  0.43954414
  0.20808439  0.31587623  0.13767735  0.51829852  0.23393865  0.08441648
  0.          0.14996078 -0.         -0.          0.18333078 -0.
 -0.         -0.          0.05402109  0.10400031 -0.          0.00841996
 -0.          0.10674465  0.12253076 -0.        ]";[0.27300889086636076, 0.056673521614425515, 0.05701041895004833, 0.3397721660831408, 0.14554556812531919, 0.5083392398870227, 0.14755207730943962, 0.3496369821161563, 0.06119980932184165, 0.3873379275634192, 0.10713828980088912, 0.042051693390699946, 0.014930854305671964, 0.0754522469429806, 0.12864665715296805, 0.16473127307004018, 0.49076846349682746, 0.07129755117023315, 0.19464513754507876, 0.09862160160809824, 0.179530443495245, 0.10084869035758741, 0.05714981488881577, 0.24918101226129996, 0.2313710942002068, 0.2294868535075298, 0.5834840010667203, 0.31738306064940686]
