Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
11;Пряжа;Karelia;Pryazhinskiy;"[ 0.          0.          0.          0.34628879  0.          0.80166047
  0.          0.48726232  0.          0.          0.          0.
  0.         -0.          0.12897395  0.31917766  0.89531657 -0.
 -0.         -0.          0.53264736 -0.         -0.          0.31318063
  0.61871967  0.60030769  1.34829573  0.80078889]";[0.25551626708849656, 0.0133043796718392, 0.03524293406780293, 0.22367339604736544, 0.15208291942826235, 0.5538787106035987, 0.07140334936861552, 0.29550220670280586, 0.021667534910702686, 0.47710012163685406, 0.1475881926256239, 0.007108797571434426, 0.0, 0.04083632042446492, 0.052287559894638784, 0.11693814134700797, 0.42166240458848614, 0.14901498282222164, 0.15717111605368103, 0.13494784874462307, 0.17228456533758182, 0.07672675931995634, 0.015431465496738706, 0.19143899940929313, 0.36762127480322454, 0.22110465524364925, 0.5366034254755159, 0.2643268621807949]
12;Балабаново;Kaluga;Borovsky District;"[ 0.3519454   0.          0.          0.          0.16286499  0.56817733
  0.          0.          0.          0.72579884  0.          0.
  0.         -0.         -0.          0.18043176  0.27803816  0.43505499
 -0.          0.06082381 -0.         -0.         -0.         -0.
  0.63256054  0.3621962   0.19495484 -0.        ]";[0.2169262944744658, 0.006655962058382855, 0.00804747049952734, 0.26132969087203817, 0.07396175469940279, 0.6034578529327672, 0.07812915013902477, 0.34521639376710156, 0.009086801862631652, 0.34967591778204227, 0.06865027038448447, 0.004543400931315826, 0.0, 0.0523909455721115, 0.08209592025551445, 0.17492025065499767, 0.5856483925237238, 0.19225261567983223, 0.1517410612495889, 0.14409760303037322, 0.28672474475299037, 0.06750062062932168, 0.01185861770795651, 0.2045493968221956, 0.542230759331453, 0.3894736373266945, 0.7566241630297109, 0.25592680529243966]
13;Мыски;Kemerovo;Myski;"[ 0.35628108  0.          0.          0.34516285  0.          0.57549695
  0.          0.42289558  0.          0.49385118  0.          0.
  0.          0.11260735 -0.          0.20952051  0.75180613 -0.
 -0.         -0.         -0.         -0.         -0.          0.4409081
 -0.          0.01969481  0.69137423  0.29920794]";[0.36546355303480643, 0.09502478864618022, 0.13283336587062852, 0.3158239825659001, 0.21719825592422912, 0.4350065363445602, 0.19413716682152954, 0.2834664803594051, 0.11632066357693889, 0.43992107441917544, 0.1770871413645854, 0.09455554910415587, 0.03927919363981197, 0.06434352362889321, 0.06809924320516739, 0.12206906121406444, 0.29816136845263497, 0.11230141320641918, 0.14292583485914764, 0.065044320450861, 0.03882465588849897, 0.053400879611663184, 0.02545831226053273, 0.08754657598777747, 0.37681863092299805, 0.15269863186690943, 0.2938364530089544, 0.1769284661271063]
14;Изборск;Pskov;Pechorsky District;"[ 0.          0.          0.          0.42667586  0.          0.75679736
  0.          0.49518226  0.          0.          0.          0.
  0.         -0.          0.21703778  0.34982904  0.89899107 -0.
 -0.         -0.          0.51594068 -0.         -0.          0.4120524
  0.6576238   0.46308504  1.30291458  0.90740128]";[0.367303909009541, 0.018280402384952755, 0.028882169503131033, 0.22480694997639147, 0.15783065157248138, 0.4873365946976654, 0.12870562268831878, 0.20334025822861876, 0.039820033875940124, 0.5804494442649294, 0.12098382610052012, 0.026366286700388212, 0.0, 0.02353779241182956, 0.10991037673855324, 0.16347989543648148, 0.35209441811668557, 0.2715559132740261, 0.20436640103435105, 0.10709413952838952, 0.11544602404928805, 0.11635983777090543, 0.0740244613617588, 0.0903267830850444, 0.548598042098646, 0.20578307969129878, 0.28250193011886615, 0.134486738185366]
15;Пущино;Moscow Oblast;Serpukhovskiy;"[ 0.32246061  0.          0.          0.          0.          0.57654299
  0.          0.          0.          0.75074452  0.          0.
  0.         -0.         -0.          0.30649808  0.661201    0.67869267
 -0.         -0.         -0.         -0.         -0.         -0.
  1.20809632  0.53777025  0.41766597  0.13163249]";[0.2383443552182965, 0.0, 0.0, 0.12070643740362941, 0.032568545247150485, 0.633365595018984, 0.005978277455155739, 0.172455652435965, 0.0, 0.4892875075336517, 0.046035991277872605, 0.0, 0.0, 0.024230270922658854, 0.018846696765712236, 0.22015335530495567, 0.5828583483410863, 0.3591026544800972, 0.030842506171144674, 0.08481895001388848, 0.16983053382873656, 0.029085598704754773, 0.02525525487954867, 0.11876136651416569, 0.7568308647427313, 0.39420387397592754, 0.5853821268964279, 0.2759323458740476]
16;Муром;Vladimir;;"[ 0.3960598   0.17059178  0.20636634  0.31642724  0.28353671  0.38467755
  0.28590734  0.26150993  0.15138512  0.43394626  0.26939105  0.09499016
  0.          0.09440972 -0.         -0.         -0.          0.45357774
  0.58262572  1.11105348 -0.          0.25459228 -0.         -0.
  0.19866751 -0.         -0.         -0.        ]";[0.2547232586348796, 0.040016026273349624, 0.05911490737311215, 0.28657873029513375, 0.13661771905503714, 0.5620657767242108, 0.10435412859615581, 0.3389654963409083, 0.050609818555169404, 0.3804957802538001, 0.08635383295636345, 0.02577389905175277, 0.00928036928926479, 0.05749847513524738, 0.10012738095082019, 0.157636133744702, 0.4582918757365229, 0.14192460513508962, 0.24475403918060282, 0.19918279789478913, 0.19969644282589422, 0.13885934046260479, 0.026896371238908926, 0.1912514215742715, 0.36167963406967113, 0.2909012306583302, 0.5403159499990244, 0.21983010738403277]
17;Краснокаменск;Zabaykalsky;Krasnokamensky District;"[ 0.42369368  0.          0.          0.          0.          0.44401049
  0.          0.          0.          0.7895178   0.          0.
  0.          0.02451879 -0.          0.2027506   0.30316273  0.70192198
 -0.          0.53475088 -0.         -0.         -0.          0.10392625
  0.59582419  0.17439095  0.56651043  0.89693801]";[0.3149768995257186, 0.030421321529350922, 0.06680788116836256, 0.2685739252448371, 0.13370741071224868, 0.5234445511904696, 0.11779020994480285, 0.26559257676854664, 0.0521233948699683, 0.4290937152876027, 0.11493953666839671, 0.032294901847485284, 0.011462216484437512, 0.030080123737723397, 0.06699505468968457, 0.19393471322356473, 0.4730466557707447, 0.23366681446256402, 0.12834941174054404, 0.13415352353086643, 0.15117995947859997, 0.06089844029895167, 0.016186769140364612, 0.14953873557138792, 0.41263714027452714, 0.24837755186026492, 0.6561986814816958, 0.4523610814888308]
18;Заринск;Altai;;"[ 0.44181641  0.          0.          0.31785925  0.          0.55195765
  0.          0.24601544  0.          0.58187877  0.          0.
  0.         -0.         -0.          0.32957595  0.7124143   0.19130702
 -0.         -0.         -0.         -0.         -0.          0.1443678
  0.08586213  0.27979265  0.59074502  0.41157272]";[0.3775249720441156, 0.06794371737486031, 0.08434099689353776, 0.3547051331504569, 0.15238744963906267, 0.4708820826201472, 0.20448218863880355, 0.2905587338727063, 0.041277606176915844, 0.37108264501140736, 0.13505472581773215, 0.028062440721710467, 0.00727239933966034, 0.049774895250535654, 0.09215113869573381, 0.18320256253518222, 0.408575830554007, 0.2467420047486043, 0.2536553376339973, 0.31159518686719906, 0.15586927247366833, 0.10763301519801094, 0.05812208116299288, 0.17353983689588415, 0.17330426259755713, 0.23495743210631007, 0.5510478158691753, 0.25569838610674617]
19;Навашино;Nizhny Novgorod;Navashinskiy;"[ 0.43515568  0.08091751  0.13197078  0.3280818   0.23407731  0.42252318
  0.30278351  0.16959528  0.08091751  0.52385345  0.20421306  0.05105327
  0.          0.03574368 -0.          0.21481406  0.4089891   0.29230223
 -0.         -0.         -0.         -0.         -0.         -0.
  0.61294644  0.27428871  0.2119569  -0.        ]";[0.3559329502772034, 0.05829226337548376, 0.09957660551803206, 0.2609310749653832, 0.14086620689396206, 0.48326343450228476, 0.1762462358338984, 0.2025148182126085, 0.07288448903329664, 0.5169110306027153, 0.10829510027383768, 0.046888133177885066, 0.025399277756983325, 0.05471861908446607, 0.11360949845392843, 0.2578955693743482, 0.47585114912804194, 0.24105333165960657, 0.15697256476258828, 0.08278826469362913, 0.06870613487804024, 0.05938333747155983, 0.08434353736602875, 0.11124265434988931, 0.5795130825351373, 0.3254875165215249, 0.36056291763785214, 0.23095973122883692]
20;Суздаль;Vladimir;Suzdal'skiy;"[ 0.24480694  0.          0.          0.32862284  0.11215999  0.63905585
  0.          0.4992676   0.11215999  0.38633709  0.          0.
  0.          0.08436741 -0.          0.15064212  0.63747387 -0.
 -0.         -0.          0.15756486 -0.         -0.          0.24442596
  0.32082706  0.25140866  0.63141024 -0.        ]";[0.2547232586348796, 0.040016026273349624, 0.05911490737311215, 0.28657873029513375, 0.13661771905503714, 0.5620657767242108, 0.10435412859615581, 0.3389654963409083, 0.050609818555169404, 0.3804957802538001, 0.08635383295636345, 0.02577389905175277, 0.00928036928926479, 0.05749847513524738, 0.10012738095082019, 0.157636133744702, 0.4582918757365229, 0.14192460513508962, 0.24475403918060282, 0.19918279789478913, 0.19969644282589422, 0.13885934046260479, 0.026896371238908926, 0.1912514215742715, 0.36167963406967113, 0.2909012306583302, 0.5403159499990244, 0.21983010738403277]
