;source;target;pass_day;transport;source_lat;source_lng;target_lat;target_lng;target_population;source_population;source_coords;target_coords;source_country;source_county;source_region;target_country;target_county;target_region
2500;Ставрополь;Казань;1.5666666666666669;avia;45.0433245;41.9690934;55.7823547;49.1242266;1216965.0;32736.0;(41.9690934, 45.0433245);(49.1242266, 55.7823547);Russia;Stavropol';Stavropol;Russia;Kazan';Tatarstan
2501;Геленджик;Южно-Сахалинск;1.5666666666666669;avia;44.5609447;38.0766832;46.9574273;142.727438;181727.0;54813.0;(38.0766832, 44.5609447);(142.727438, 46.9574273);Russia;Gelendzhik;Krasnodar;Russia;;Sakhalin
2502;Кемерово;Саратов;2.6;avia;55.355125;86.087234;51.530018;46.034683;12846.0;532884.0;(86.087234, 55.355125);(46.034683, 51.530018);Russia;Kemerovo;Kemerovo;Russia;Saratovskiy;Saratov
2503;Оренбург;Воронеж;1.9;avia;51.767452;55.097118;51.6605982;39.2005858;19738.0;20663.0;(55.097118, 51.767452);(39.2005858, 51.6605982);Russia;Orenburg;Orenburg;Russia;Voronezh;Voronezh
2504;Хабаровск;Комсомольск-на-Амуре;2.3;avia;48.481403;135.076935;50.550877;137.020782;263906.0;42977.0;(135.076935, 48.481403);(137.020782, 50.550877);Russia;;Khabarovsk;Russia;Komsomol'skiy;Khabarovsk
2505;Нижнекамск;Нижний Новгород;1.9333333333333331;avia;55.6412879;51.8160376;56.328571;44.003506;1250615.0;234108.0;(51.8160376, 55.6412879);(44.003506, 56.328571);Russia;Nizhnekamsky District;Tatarstan;Russia;Nizhniy Novgorod;Nizhny Novgorod
2506;Екатеринбург;Южно-Сахалинск;2.6666666666666665;avia;56.839104;60.60825;46.9574273;142.727438;181727.0;1377738.0;(60.60825, 56.839104);(142.727438, 46.9574273);Russia;Ekaterinburg;Sverdlovsk;Russia;;Sakhalin
2507;Назрань;Тюмень;1.6666666666666667;avia;43.2320774;44.7540128;57.153534;65.542274;581758.0;93357.0;(44.7540128, 43.2320774);(65.542274, 57.153534);Russia;;North Ossetia-Alania;Russia;Tjumen';Tyumen
2508;Новокузнецк;Челябинск;2.7333333333333334;avia;53.757607;87.136101;55.1598408;61.4025547;31916.0;547885.0;(87.136101, 53.757607);(61.4025547, 55.1598408);Russia;;Kemerovo;Russia;Chelyabinsk;Chelyabinsk
2509;Надым;Красноярск;1.9333333333333331;avia;65.5336238;72.5113955;56.0090968;92.8725147;2180.0;46550.0;(72.5113955, 65.5336238);(92.8725147, 56.0090968);Russia;Nadymsky District;Yamalo-Nenets;Russia;Krasnojarsk;Krasnoyarsk
2510;Нижнекамск;Мурманск;2.8;avia;55.6412879;51.8160376;68.970665;33.07497;59690.0;234108.0;(51.8160376, 55.6412879);(33.07497, 68.970665);Russia;Nizhnekamsky District;Tatarstan;Russia;Murmansk;Murmansk
2511;Хабаровск;Тюмень;2.7;avia;48.481403;135.076935;57.153534;65.542274;581758.0;42977.0;(135.076935, 48.481403);(65.542274, 57.153534);Russia;;Khabarovsk;Russia;Tjumen';Tyumen
