,lat,lng,name,osm_accuracy,population
0,52.651054599999995,90.101159,Абаза,0.593507677970318,17111
1,53.7209024,91.442435,Абакан,0.609790990910155,165183
2,53.6828,53.655701,Абдулино,0.58718281351088,20663
3,44.8649528,38.1578189,Абинск,0.5978643972223641,34926
4,56.525459700000006,52.9972512,Агрыз,0.596614665199801,19299
5,43.425383399999994,39.9237036,Адлер,0.536537590075626,109539
6,54.862955500000005,53.0792275,Азнакаево,0.5950572107405551,34859
7,47.0884477,39.424074559130396,Азов,0.633784277105689,82882
8,47.268696000000006,39.861362,Аксай,0.589467215043441,41984
9,57.850811,61.695,Алапаевск,0.613774447066366,38198
10,54.84582955,46.5627484284573,Алатырь,0.5886688924656,38202
11,58.608414,125.388222,Алдан,0.605947875397728,21277
12,52.4970221,82.7730755,Алейск,0.598513283078841,28528
13,56.3962287,38.711110299999994,Александров,0.614190064709064,61544
14,59.163218900000004,57.5806324455949,Александровск,0.589053399644964,15022
15,50.6299364,38.6867154,Алексеевка,0.591445708860836,39026
16,54.5028103,37.0667213,Алексин,0.593120203849316,61738
17,55.554956000000004,98.6654191,Алзамай,0.598401892483957,6751
18,44.677112,34.4095393,Алушта,0.602915167891094,28642
19,54.90050079999999,52.2963777,Альметьевск,0.6060070330404449,146309
20,64.7316875,177.5060925,Анадырь,0.591918180647331,13053
21,44.894271999999994,37.316887,Анапа,0.6429240761307851,58983
22,52.53111170000001,103.8826109,Ангарск,0.620687137820104,233765
23,56.646801,32.26532,Андреаполь,0.5955262571396489,8265
24,56.077808,86.019356,Анжеро-Судженск,0.691975472245134,76669
25,67.568626,33.404392,Апатиты,0.5387485870051529,59690
26,56.6954649,60.850453599999994,Арамиль,0.603533765249116,14227
27,43.2950455,45.86889179999999,Аргун,0.5951277956683381,29528
28,54.8436669,46.2386314,Ардатов,0.588374966721875,9400
29,55.3989463,43.840812899999996,Арзамас,0.614842447172448,106367
30,51.942913,43.489098,Аркадак,0.5887933469411171,12846
31,44.9993585,41.1294061,Армавир,0.625553416979574,188897
32,44.1608008,133.2889113,Арсеньев,0.602290298739534,56742
33,56.090991599999995,49.8771828,Арск,0.591620199086833,18114
34,54.116268000000005,86.27005799999999,Артышта,0.575105590586511,263
35,43.35703770000001,132.1853629,Артём,0.605651232440788,106460
36,48.60083235,37.9940003223644,Артёмовск,0.494973508413046,2180
37,57.343185399999996,61.8775035,Артёмовский,0.604328770013058,32878
38,64.543022,40.537121,Архангельск,0.6830740534513711,348716
39,57.00527460000001,61.458076500000004,Асбест,0.609063811524401,70067
40,56.999187,86.14166999999999,Асино,0.5939886199299,25614
41,46.3652486,48.0552168617783,Астрахань,0.6704389758656829,520662
42,51.882442,45.012572999999996,Аткарск,0.5952687234722089,25620
43,48.2877616,46.174487899999995,Ахтубинск,0.592998616910351,41898
44,56.2694846,90.4953964,Ачинск,0.6251791008596739,109156
45,54.99088960000001,57.278053099999994,Аша,0.60201754214395,31916
46,56.460900699999996,138.1817339,Аян,0.590439032346601,1895
47,59.3969942,35.940425,Бабаево,0.5963385957600611,12074
48,51.7161749,105.8635328,Бабушкин,0.598401892483957,4839
49,54.4030866,53.235701600000006,Бавлы,0.5927302783138559,22109
50,55.466446999999995,119.95388249999999,Багдарин,0.435,4875
51,51.522597999999995,104.14907099999999,Байкальск,0.599812710008018,13589
52,61.680826100000004,96.38302209999999,Байкит,0.5769014587248721,3513
53,43.68587385,43.544624025,Баксан,0.5871560575307021,36857
54,55.1783579,36.657556400000004,Балабаново,0.5891312019688311,26337
55,52.01812,47.819140999999995,Балаково,0.612899469290669,199576
56,55.803622499999996,37.96464879999999,Балашиха,0.6302366107451179,215353
57,51.537084,43.1717621,Балашов,0.602520153690846,82222
58,51.578789,116.646042,Балей,0.5952687234722089,12536
59,55.3567611,78.350348,Барабинск,0.599375288729948,30250
60,53.347402,83.77844959999999,Барнаул,0.6711959854972599,635585
61,53.654075799999994,47.1013737,Барыш,0.584392055045225,17149
62,67.654907,134.63507099999998,Батагай,0.595759448486215,3647
63,47.138527,39.742348,Батайск,0.611147618423012,112400
64,56.973884600000005,29.8845309,Бежаницы,0.5078493758844651,4141
65,57.78135699999999,36.692535,Бежецк,0.600892870837439,24517
66,68.53701,146.187286,Белая Гора,0.6750324697459009,2058
67,48.1751778,40.7902124,Белая Калитва,0.6890892910038822,43688
68,50.5955595,36.5873394,Белгород,0.664911139729077,356426
69,52.9669338,43.4130625,Белинский,0.586103409400246,8567
70,54.419323,86.30342900000001,Белово,0.598691090340636,76752
71,50.921326,128.47287,Белогорск,0.6035952848676379,68220
72,60.03199,37.7842189,Белозерск,0.603963118581715,9614
73,51.9994856,84.9860861,Белокуриха,0.596361648836586,15072
74,64.5216684,34.762583500000005,Беломорск,0.59186861699418,11217
75,53.968070499999996,58.4099549,Белорецк,0.607813311092527,68804
76,44.7614149,39.871294299999995,Белореченск,0.603574785150379,53891
77,63.7156353,66.6667691,Белоярский,0.5968209087811271,20283
78,55.833073,32.939487,Белый,0.5982008806752789,3771
79,54.7437662,83.0626890786016,Бердск,0.593615777768699,98809
80,59.408417099999994,56.8036958,Березники,0.617565036172246,156350
81,63.935246,65.053566,Берёзово,0.59231326148336,7050
82,61.0183491,138.3158678,Берёзовый,0.435,29441
83,43.18755720000001,44.537568900000004,Беслан,0.6061251782511401,36724
84,52.5394905,85.2148673,Бийск,0.6230338711197161,203826
85,46.819363,134.254822,Бикин,0.5964997865097429,17156
86,48.78816679999999,132.9282082,Биробиджан,0.586699419665253,75419
