;Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
482;483;Череповец;Vologda;Cherepovec;"[ 0.39615226  0.31803081  0.26558164  0.18453526  0.28376487  0.38672866
  0.26446823  0.14997393  0.45607038  0.29162171  0.1167024   0.0902933
  0.         -0.          0.00323143 -0.         -0.          0.00265445
  0.30183439  0.03549596  0.01264208  0.15725487 -0.         -0.
 -0.          0.33445276  0.22675024  0.16892964]";[0.4014046220526957, 0.3155195153878863, 0.2583016241578496, 0.10682507656309499, 0.2539751890229211, 0.40494166093259126, 0.22352084296140304, 0.10800496427312045, 0.49860525810030026, 0.2015384044080586, 0.10169117538496479, 0.07574173523904187, 0.020363854146866815, 0.0433771642201044, 0.08117712265894857, 0.10187538982470183, 0.03842486330434066, 0.01806100008955077, 0.22815447024535832, 0.22814337224911796, 0.28983061996911463, 0.06106468715480692, 0.2058903943780109, 0.22681570824185873, 0.4648039792402101, 0.10179163914892113, 0.03779170746887197, 0.20953899192165829]
483;484;Россошь;Voronezh;Rossoshanskiy;"[ 0.34675299  0.29745883  0.25969708  0.24425405  0.31044081  0.34997014
  0.2650207   0.19434227  0.37352107  0.31250541  0.20753396  0.18707287
  0.1485809   0.08431908 -0.          0.39834322  0.06792554  0.01390936
 -0.         -0.         -0.          0.2203149   0.71258795  0.30558084
 -0.          0.17375038 -0.         -0.        ]";[0.3815663151338236, 0.3196695649720498, 0.23036746420770893, 0.17122984502813937, 0.2537842365007033, 0.401541197073942, 0.2840330200765064, 0.13789920526920146, 0.4442672046806562, 0.21065220266012505, 0.1182970495646017, 0.11025925446985892, 0.06463946028544695, 0.08305146462050295, 0.05571601405342948, 0.22606402909201262, 0.05003103811724536, 0.027213950894409884, 0.15194831399208983, 0.16081569090210857, 0.2428055419230148, 0.09997133569534454, 0.4321150146312395, 0.38294592860626225, 0.43992238485435625, 0.06074042208793373, 0.009663081612655928, 0.21769757935831777]
484;485;Сергиев Посад;Moscow Oblast;Sergievo-Posadskiy (Zagorskiy);"[ 0.43306198  0.          0.          0.          0.21225132  0.4779722
  0.          0.          0.67873126  0.2797734   0.          0.
  0.          0.08904787  0.06877686 -0.          0.03105163  0.3501799
  0.22237009  0.36057719  0.33544162 -0.         -0.         -0.
  0.20798687  0.78391247  0.18804339  0.07350686]";[0.36267325645794757, 0.08360539757783052, 0.013875554919498542, 0.0, 0.07361938579042608, 0.5147761242472542, 0.08995905592282116, 0.0, 0.6718169261324448, 0.09989918066407505, 0.0, 0.0, 0.0, 0.17919492470461457, 0.051404513025686736, 0.0, 0.03561486471247377, 0.1829321364788905, 0.23519604571229502, 0.3573228914661206, 0.3891932864681689, 0.008876461438780394, 0.0, 0.0, 0.5186229659386378, 0.22721651254334752, 0.20040651628769007, 0.22059173607646332]
485;486;Луза;Kirov;;"[ 0.39947724  0.32729542  0.19300116  0.06433372  0.27804572  0.45996984
  0.33761871  0.          0.50227619  0.18060759  0.          0.06433372
  0.          0.11120773  0.15533007 -0.         -0.         -0.
 -0.          0.33234808  0.37894747 -0.         -0.         -0.
  1.20293719  0.04121018 -0.          0.5227321 ]";[0.39378018759547817, 0.2813607295062138, 0.21848356048371656, 0.12680931606858897, 0.20013871075799358, 0.40074878996668023, 0.22334468576789, 0.11116742417874523, 0.5146165568662585, 0.15964424462094615, 0.08212968615451761, 0.08642663760902738, 0.052811088887753245, 0.0827462289209981, 0.07676059947330302, 0.12691641077313381, 0.05451959449558234, 0.050426098275353125, 0.28672011838668093, 0.2347157577847839, 0.35976841521674785, 0.09105205242324542, 0.2775115083468046, 0.29535973622156814, 0.5922331006723047, 0.005887168080687197, 0.08265354134452396, 0.22652550840910138]
486;487;Пыть-Ях;Khanty-Mansi;Nefteyuganskiy;"[ 0.35274777  0.3011965   0.26151697  0.24055599  0.30446453  0.35949829
  0.26704793  0.21887154  0.37742939  0.3158035   0.2025262   0.14239698
  0.11813464  0.106555   -0.          0.53114996  0.12235121  0.04458074
 -0.         -0.         -0.          0.15709843  1.11856476  1.11517435
 -0.          0.13620218 -0.         -0.        ]";[0.38867252475919817, 0.29425053573222326, 0.2598696632569659, 0.18445818754131277, 0.2936623353956516, 0.38131510209648295, 0.21174709062380564, 0.14070900672625297, 0.45861628221421125, 0.30989443452168886, 0.12050349419579606, 0.08707702947908966, 0.047380187805769455, 0.036483903591669184, 0.04254977377662913, 0.15295113612882055, 0.07958631358501789, 0.02838048224330017, 0.16125448727154962, 0.10340826053260006, 0.06391416213975239, 0.07307572498269121, 0.2912159641815456, 0.2570195744002324, 0.05800507894994582, 0.3936283185464398, 0.058543649229183134, 0.11046157490595343]
487;488;Сасово;Ryazan;Sasovo;"[ 0.39684697  0.30742945  0.18844052  0.08633532  0.24640532  0.44139845
  0.29372775  0.          0.5441762   0.25900597  0.          0.
  0.          0.09632198  0.19407585 -0.         -0.         -0.
  0.17991218  0.46292404  0.31386504 -0.         -0.         -0.
  0.83743165  0.28507967 -0.          0.55889287]";[0.3831690545993236, 0.1968037586401361, 0.14216300063182052, 0.05939467899481919, 0.13169827918858143, 0.4390989274338316, 0.17182955029392488, 0.02390587917123147, 0.6281955231372824, 0.1363223981973205, 0.03728414184238859, 0.026635706337846215, 0.020534562129383507, 0.1475048566883068, 0.09413454437488034, 0.10978789419456696, 0.05169224834926947, 0.09948232251182451, 0.24710776028084244, 0.34716120590024946, 0.36904337025011663, 0.019656151596443624, 0.2268557991216888, 0.2854133664497184, 0.7171547750886849, 0.0573117201133767, 0.1722920205808363, 0.22001821908256042]
488;489;Алдан;Sakha;;"[ 0.          0.41305706  0.          0.          0.          0.77043914
  0.48560004  0.          0.          0.          0.          0.
  0.          0.4083094  -0.         -0.         -0.         -0.
 -0.          0.15626122  0.54926379 -0.         -0.         -0.
  0.66406452 -0.         -0.          0.85386281]";[0.15551635866205088, 0.2838360590469586, 0.11456677664503352, 0.05392106432772168, 0.1066084377510669, 0.49106942820815824, 0.3035320231658183, 0.03565372552721659, 0.37190414442666053, 0.08176003324875396, 0.03565372552721659, 0.03299798121990346, 0.01649899060995173, 0.30629551017924755, 0.10256481150519307, 0.007827202883106578, 0.12590422952488953, 0.0037729604107369654, 0.0686734489777444, 0.18971772059192613, 0.31317314961678966, 0.022728366233608858, 0.10463188869515598, 0.0, 0.9365970213292851, 0.05471147154745594, 0.2704360335933764, 0.3676434284429494]
489;490;Пикалёво;Leningrad;Boksitogorskiy;"[ 0.48107617  0.34544267  0.2797896   0.12125899  0.25370031  0.38094993
  0.258725    0.0522234   0.48043821  0.1806633   0.10444681  0.0522234
  0.         -0.          0.13612558 -0.         -0.         -0.
  0.41478077  0.35351549  0.38702827 -0.         -0.         -0.
  0.58797346 -0.         -0.          0.2450952 ]";[0.43666707942254346, 0.1585017768414595, 0.1351661828491644, 0.043590664614830674, 0.11831155646471433, 0.43585786011533767, 0.08617473127466867, 0.028986045376903434, 0.6368326506960655, 0.16428012270245873, 0.032568543316803714, 0.017087630916439542, 0.0, 0.09778832125987, 0.06858371637507123, 0.019785951364875636, 0.033674377508848885, 0.12048787761335954, 0.34002642531613275, 0.3588291615467775, 0.4088452876290691, 0.018783292809783112, 0.023796747458479886, 0.027351807311360225, 0.5759757969988244, 0.11080734626566789, 0.12943693826192199, 0.1492633193543837]
490;491;Санкт-Петербург;Saint Petersburg;;"[ 0.36255325  0.23659892  0.19257121  0.20726327  0.33561609  0.38655803
  0.21798736  0.1901587   0.47243829  0.36234158  0.16300556  0.07569744
  0.          0.13089762 -0.          2.51695183  0.47749946 -0.
 -0.         -0.         -0.          0.11290134  5.62290693  7.79990445
 -0.         -0.          0.09514283 -0.        ]";[0.4228315973162323, 0.11829945932952346, 0.09628560288158321, 0.10363163456434533, 0.2529761901173853, 0.43361739345468814, 0.10899367848568313, 0.09507935223539739, 0.5817353262548465, 0.2663389347677054, 0.08150278164383712, 0.03784871970205908, 0.0, 0.10308649620585297, 0.052807088351359985, 1.2584759136399282, 0.23874973078176845, 0.18398325027573098, 0.1515461115823041, 0.2555884811809209, 0.3372955794563074, 0.056450671697914664, 2.811453467288493, 3.8999522258617567, 0.4161783318239383, 0.07677614126488704, 0.047571417073376934, 0.06939814739590505]
491;492;Павловский Посад;Moscow Oblast;Pavlovo-Posadskiy Rayon;"[ 0.4027905   0.          0.          0.          0.          0.48246115
  0.          0.          0.76524729  0.13923949  0.          0.
  0.          0.24749199  0.03263867 -0.          0.03967057  0.26140444
  0.36493032  0.4582327   0.47014636 -0.         -0.         -0.
  0.76505928  0.07925933  0.28976978  0.19251309]";[0.36267325645794757, 0.08360539757783052, 0.013875554919498542, 0.0, 0.07361938579042608, 0.5147761242472542, 0.08995905592282116, 0.0, 0.6718169261324448, 0.09989918066407505, 0.0, 0.0, 0.0, 0.17919492470461457, 0.051404513025686736, 0.0, 0.03561486471247377, 0.1829321364788905, 0.23519604571229502, 0.3573228914661206, 0.3891932864681689, 0.008876461438780394, 0.0, 0.0, 0.5186229659386378, 0.22721651254334752, 0.20040651628769007, 0.22059173607646332]
